As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN
The series X has a plastic tip as seen in the majority of pole floats these days, the tapered cane stem also caught my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET NOUN PROPN VERB DET ADJ NOUN ADP VERB ADP DET NOUN ADP NOUN VERB DET NOUN DET ADJ NOUN NOUN ADV VERB ADJ NOUN
Someone, a professional contact from the look of him, caught her eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN DET ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ NOUN
He only just glimpsed the Stones ' garage door sliding to a close, a quick, difficult movement to observe in the darkness, a slight changing of shadows that caught Doyle's eagle eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	catch someone's eye	figurative	combined-inflection	PRON ADV ADV VERB DET PROPN PART NOUN NOUN VERB ADP DET NOUN DET ADJ ADJ NOUN PART VERB ADP DET NOUN DET ADJ NOUN ADP NOUN ADJ VERB NOUN NOUN NOUN
Sometimes, when a party of you are trudging through boggy ground, battered by wind and rain, you catch somebody's eye and the whole thing seems ludicrous.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	ADV ADV DET NOUN ADP PRON VERB VERB ADP ADJ NOUN VERB ADP NOUN CCONJ NOUN PRON VERB NOUN NOUN CCONJ DET ADJ NOUN VERB ADJ
The word ‘ Cinemas’ caught his eye, and one of the names seemed familiar.	0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN ADJ PROPN VERB ADJ NOUN CCONJ NUM ADP DET NOUN VERB ADJ
But Rose Williams caught his eye and her lips curved in a sardonic smile.	0 0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ PROPN PROPN VERB ADJ NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NOUN
It is designed, like a fishing lure, to catch the audience's eye and yield a rich haul at the box - office.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB VERB ADP DET NOUN NOUN PART VERB DET NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN
When a customer buys goods ‘ on impulse’ it is often because something in the window display has caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADV DET NOUN VERB NOUN PUNCT ADP NOUN PRON VERB ADV ADP NOUN ADP DET NOUN NOUN VERB VERB ADJ NOUN
The first thing to catch my eye were the floats, and in particular the ones that suited my local river — the Trent.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	DET ADJ NOUN PART VERB ADJ NOUN VERB DET NOUN CCONJ ADP ADJ DET NOUN ADJ VERB ADJ ADJ NOUN PUNCT DET PROPN
It is useful to start with a copy of the advertisement which originally caught your eye, for the reasons mentioned in Chapter 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB ADJ PART VERB ADP DET NOUN ADP DET NOUN ADJ ADV VERB ADJ NOUN ADP DET NOUN VERB ADP NOUN NUM
In order to finance an 11 month trip around the world shooting anything and everything that caught his well - honed eye, he sold his most treasured and expensive possession, his home.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP NOUN PART VERB DET NUM NOUN NOUN ADP DET NOUN VERB NOUN CCONJ NOUN ADJ VERB ADJ ADV PUNCT VERB NOUN PRON VERB ADJ ADV ADJ CCONJ ADJ NOUN ADJ NOUN
She caught my eye expressively as Dr Curtis voiced our thoughts.	0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB ADJ NOUN ADV ADP PROPN PROPN VERB ADJ NOUN
Yanto caught his eye with a nod.	0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN VERB ADJ NOUN ADP DET NOUN
As she was thinking this, Carmella caught Hana's eye.	0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB VERB DET PROPN VERB PROPN NOUN
Then he caught Taheb's eye and lowered his own with a slight cough.	0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ VERB ADJ ADJ ADP DET ADJ NOUN
As I looked round in the pale dawn light, a piece of paper caught my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB ADV ADP DET ADJ NOUN NOUN DET NOUN ADP NOUN VERB ADJ NOUN
Yanto silently caught Billy's eye and flicked his own eyes to the right.	0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN ADV VERB PROPN NOUN CCONJ VERB ADJ ADJ NOUN ADP DET NOUN
Folly started to read down the list, but then her eye was caught by an emphatic message, scrawled across the page in capitals and underlined twice.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	misc	PROPN VERB PART VERB PART DET NOUN CCONJ ADV ADJ NOUN VERB VERB ADP DET ADJ NOUN VERB ADP DET NOUN ADP NOUN CCONJ VERB ADV
Sanchez caught the bookie's eye.	0 1 0 1 1	catch someone's eye	figurative	combined-inflection	PROPN VERB DET NOUN NOUN
Sean caught Ruth's eye and winked at her.	0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB PROPN NOUN CCONJ VERB ADP PRON
One of the first things to catch the visitor's eye when starting down from the castle esplanade is a cannonball lodged in the wall of a house, believed to have been fired from the castle at Holyroodhouse in 1745 when anti - Jacobite forces on the Castle Rock were at odds with Prince Charles Edward at the lower end of the town.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	NUM ADP DET ADJ NOUN PART VERB DET NOUN NOUN ADV VERB PART ADP DET ADJ NOUN VERB DET NOUN VERB ADP DET NOUN ADP DET NOUN VERB PART VERB VERB VERB ADP DET NOUN ADP PROPN ADP NUM ADV ADV PUNCT ADJ NOUN ADP DET PROPN PROPN VERB ADP NOUN ADP PROPN PROPN PROPN ADP DET ADJ NOUN ADP DET NOUN
Rain caught Oliver's eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN VERB PROPN NOUN
Something seemed suddenly to catch his eye : the Commonweal School group photograph on the wall above the desk.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	NOUN VERB ADV PART VERB ADJ NOUN PUNCT DET PROPN PROPN NOUN NOUN ADP DET NOUN ADP DET NOUN
Then a movement caught her eye, and she looked to see Adam coming warily round the car, Undry in his hands.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV DET NOUN VERB ADJ NOUN CCONJ PRON VERB PART VERB PROPN VERB ADV ADP DET NOUN PROPN ADP ADJ NOUN
He had a brimming goblet of wine in one hand, the other up the skirt of the dancing girl who had caught my eye earlier.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	catch someone's eye	figurative	combined-inflection	PRON VERB DET VERB NOUN ADP NOUN ADP NUM NOUN DET ADJ ADP DET NOUN ADP DET NOUN NOUN NOUN VERB VERB ADJ NOUN ADV
Movement on the stern scanners caught her eye.	0 0 0 0 0 1 1 1	catch someone's eye	literal	combined-inflection	PROPN ADP DET ADJ NOUN VERB ADJ NOUN
He caught Athelstan's eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN
Stevie, deeply troubled, had decided that the only thing was to fall in with her mood, but he kept catching Patrick's eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PROPN ADV ADJ VERB VERB ADP DET ADJ NOUN VERB PART VERB PART ADP ADJ NOUN CCONJ PRON VERB VERB PROPN NOUN
It is designed, like a fishing lure, to catch the audience's eye and yield a rich haul at the box - office.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB VERB ADP DET NOUN NOUN PART VERB DET NOUN NOUN CCONJ VERB DET ADJ NOUN ADP DET NOUN PUNCT NOUN
I hope that I will catch your eye, Madam Deputy Speaker, on Second Reading of at least one of those Bills.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	PRON VERB ADP PRON VERB VERB ADJ NOUN PROPN PROPN PROPN ADP PROPN PROPN ADP ADV ADV NUM ADP DET NOUN
I caught Werewolf's eye and knew it had to be me who had to ask.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN CCONJ VERB PRON VERB PART VERB PRON NOUN VERB PART VERB
As he stood there, waiting his arrival, the knocker caught his eye.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PRON VERB ADV VERB ADJ NOUN DET NOUN VERB ADJ NOUN
‘ My lady,’ said Hugh, catching her eye and breaking into a resigned grin, ‘ my lady, as usual, is making fun of both of us.’	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PUNCT ADJ NOUN VERB PROPN VERB ADJ NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT ADJ NOUN ADP ADJ VERB VERB NOUN ADP DET ADP ADJ
Jannie cleared the plates away, catching Bob's eye for a moment and pushing her bottom lip up in mock guilt.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB DET NOUN ADV VERB PROPN NOUN ADP DET NOUN CCONJ VERB ADJ NOUN NOUN PART ADP ADJ NOUN
One morning, one his way to work as a young reporter on the Gazette de Liege, his eye was caught by a magnificent negress in a brothel window.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	misc	NUM NOUN NUM ADJ NOUN PART VERB ADP DET ADJ NOUN ADP DET PROPN PROPN PROPN ADJ NOUN VERB VERB ADP DET ADJ NOUN ADP DET NOUN NOUN
In a field where an old horse nibbled the cold grass delicately, a covey of partridges, three strutting chasing moles and an indifferent female, caught my eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP DET NOUN ADV DET ADJ NOUN VERB DET ADJ NOUN ADV DET NOUN ADP NOUN NUM VERB NOUN NOUN CCONJ DET ADJ NOUN VERB ADJ NOUN
One small lacquer box had caught his eye.	0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NUM ADJ NOUN NOUN VERB VERB ADJ NOUN
One name caught his eye and he programmed it into the computer.	0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NUM NOUN VERB ADJ NOUN CCONJ PRON VERB PRON ADP DET NOUN
His voice trailed off as he caught the Superintendent's eye.	0 0 0 0 0 0 1 0 1 1	catch someone's eye	figurative	combined-inflection	ADJ NOUN VERB PART ADP PRON VERB DET PROPN NOUN
' They were all out to catch Henry's eye.	0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-other	PUNCT PRON VERB ADV ADV PART VERB PROPN NOUN
The little brown bottle caught my eye again, and putting my cup and saucer down I uncapped and re - examined it.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET ADJ ADJ NOUN VERB ADJ NOUN ADV CCONJ VERB ADJ NOUN CCONJ NOUN ADV PRON VERB CCONJ NOUN PUNCT VERB PRON
