Ciggie lands gran in dock	0 0 0 1 1	in the dock	figurative	inflection	PROPN VERB NOUN ADP NOUN
John Paul Rous stood nervously in the dock at Oxford Magistrates Court as details of his charge were read out.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	identical	PROPN PROPN PROPN VERB ADV ADP DET NOUN ADP PROPN PROPN PROPN ADP NOUN ADP ADJ NOUN VERB VERB PART
The judge agreed and F and his two brothers changed places in the dock.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	DET NOUN VERB CCONJ PROPN CCONJ ADJ NUM NOUN VERB NOUN ADP DET NOUN
Alan's car was in dock, so Willy, the only other car owner, agreed to drive.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PROPN NOUN VERB ADP NOUN ADV ADV DET ADJ ADJ NOUN NOUN VERB PART VERB
Of the 6111 recorded as working in the Royal docks, 5093 ( 83.3 per cent ) lived in Canning Town or Plaistow.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-inflection	ADP DET NUM VERB ADP VERB ADP DET PROPN NOUN NUM PUNCT NUM NOUN NOUN PUNCT VERB ADP PROPN PROPN CCONJ PROPN
Ships are now built in modules rather than built in a whole from the base up in a dry dock, ' he said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	in the dock	literal	combined-other	NOUN VERB ADV VERB ADP NOUN ADV ADP VERB ADP DET NOUN ADP DET NOUN PART ADP DET ADJ NOUN PUNCT PRON VERB
In the hey - day of trade in the docks there were 15 major corn warehouses, two dock basins and a complex network of rail lines covering some 22 acres.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	ADP DET ADJ PUNCT NOUN ADP NOUN ADP DET NOUN ADV VERB NUM ADJ NOUN NOUN NUM NOUN NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN VERB DET NUM NOUN
No, but it is in the fish dock.	0 0 0 0 1 0 0 1	in the dock	literal	insertion-other	INTJ CCONJ PRON VERB ADP DET NOUN NOUN
Well I think it was I mean that erm we when you dredge from the Causeway I 'd say near the Harbourmaster's office and we dredged all the way to Botterman's Bay just below Pinmill and that Botterman's Bay was that's a place where they had and that's where the big ships used to moor then and they used to get .. be lightened, like all grain goods and that used to be loaded into barges by hand and then when it goes so light they used to the fish with about three thousand grain in 'em and then they used to fill them up in the dock, on the same method.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	in the dock	literal	identical	INTJ PRON VERB PRON VERB PRON VERB ADP NOUN PRON ADV PRON VERB ADP DET PROPN PRON VERB VERB ADP DET PROPN NOUN CCONJ PRON VERB ADJ DET NOUN ADP PROPN PROPN ADV ADP PROPN CCONJ ADP PROPN PROPN VERB DET DET NOUN ADV PRON VERB CCONJ DET ADV DET ADJ NOUN VERB PART VERB ADV CCONJ PRON VERB PART VERB PUNCT VERB VERB ADP DET NOUN NOUN CCONJ ADJ VERB PART VERB VERB ADP NOUN ADP NOUN CCONJ ADV ADV PRON VERB ADV NOUN PRON VERB ADP DET NOUN ADP ADV NUM NUM NOUN ADP PRON CCONJ ADV PRON VERB PART VERB PRON PART ADP DET NOUN ADP DET ADJ NOUN
The 9 others in the dock face a combination of charges ranging from conspiracy to pervert the course of justice to assault.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	identical	DET NUM NOUN ADP DET NOUN VERB DET NOUN ADP NOUN VERB ADP NOUN PART VERB DET NOUN ADP NOUN PART VERB
Four months after he was cleared on appeal, David Reed tells Liz Fisher what it was like to be in the dock	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	literal	identical	NUM NOUN ADP PRON VERB VERB ADP NOUN PROPN PROPN VERB PROPN PROPN NOUN PRON VERB ADJ PART VERB ADP DET NOUN
Then she remembered the racket they ran here, in the spaceship docks of Plenty.	0 0 0 0 0 0 0 0 1 0 0 1 0 0	in the dock	literal	combined-inflection	ADV PRON VERB DET NOUN PRON VERB ADV ADP DET NOUN NOUN ADP PROPN
I mean seven years continual dredging for seven years apart from a month they in dock and you were taking out eight hundred tonne every hopper load and some days you were doing five loads and sometimes four loads, was a lot of mud we dumped so much mud out at erm near the Cork Lightship, now you would think they would level theirself off wouldn't you and if they didn't that up.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PRON VERB NUM NOUN ADJ VERB ADP NUM NOUN ADV ADP DET NOUN PRON ADP NOUN CCONJ PRON VERB VERB PART NUM NUM NOUN DET NOUN NOUN CCONJ DET NOUN PRON VERB VERB NUM NOUN CCONJ ADV NUM NOUN VERB DET NOUN ADP NOUN PRON VERB ADV ADJ NOUN PART ADP NOUN ADP DET PROPN PROPN ADV PRON VERB VERB PRON VERB VERB NOUN PART VERB PRON CCONJ ADP PRON VERB DET PART
The first is hard to explain because, although Kelly may be right in asserting that the clash was one of a kind seen every week, it was still bad enough for his own organisation to have upheld a ban on the man in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	DET ADJ VERB ADJ PART VERB ADP ADP PROPN VERB VERB ADJ ADP VERB ADP DET NOUN VERB NUM ADP DET NOUN VERB DET NOUN PRON VERB ADV ADJ ADV ADP ADJ ADJ NOUN PART VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN
Peter and Nona were not the only people planning to eat in the open air, because a coachload of school - children together with four teachers, all carrying packed lunches, had arrived to visit the Cutty Sark and then Gypsy Moth in its dry dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	combined-other	PROPN CCONJ PROPN VERB ADV DET ADJ NOUN VERB PART VERB ADP DET ADJ NOUN ADP DET NOUN ADP NOUN PUNCT NOUN ADV ADP NUM NOUN DET VERB VERB NOUN VERB VERB PART VERB DET PROPN PROPN CCONJ ADV PROPN PROPN ADP ADJ ADJ NOUN
In the dock at Liverpool Crown Court is James Walker, formerly of Edinburgh Towers, Everton, who denies conspiring to commit robberies in April and May last year.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	figurative	case	ADP DET NOUN ADP PROPN PROPN PROPN VERB PROPN PROPN ADV ADP PROPN PROPN PROPN NOUN VERB VERB PART VERB NOUN ADP PROPN CCONJ PROPN ADJ NOUN
After crossing the dock channel by way of the lock gates catwalk, they paused for a while watching and listening to the bedlam of noise from the riveting guns as the shipyard men worked on a small coastal tanker in the dry dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	in the dock	literal	insertion-other	ADP VERB DET NOUN NOUN ADP NOUN ADP DET NOUN NOUN VERB PRON VERB ADP DET NOUN VERB CCONJ VERB ADP DET NOUN ADP NOUN ADP DET VERB NOUN ADP DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP DET ADJ NOUN
If such a proposal was adopted by the GMC Kay and his committee might find themselves in the dock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	in the dock	figurative	identical	ADP ADJ DET NOUN VERB VERB ADP DET PROPN PROPN CCONJ ADJ NOUN VERB VERB PRON ADP DET NOUN
I 'm thinking of laying up Rochester in dry dock.	0 0 0 0 0 0 0 1 0 1	in the dock	literal	determiner-broad	PRON NOUN VERB ADP VERB PART PROPN ADP ADJ NOUN
Nestling peacefully amongst the mine sweepers and patrol vessels in Albert Dock was the P&O Thames sailing barge, Will, dressed overall with flags and used for a variety of on board functions during her stay.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	in the dock	literal	combined-other	VERB ADV ADP DET ADJ NOUN CCONJ NOUN NOUN ADP PROPN PROPN VERB DET PROPN PROPN NOUN NOUN VERB VERB ADV ADP NOUN CCONJ VERB ADP DET NOUN ADP ADP NOUN NOUN ADP ADJ NOUN
Wycliffe shared a table with a merchant captain whose ship was in dock, a quiet spoken man on the verge of retirement.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	in the dock	literal	inflection	PROPN VERB DET NOUN ADP DET NOUN NOUN ADJ NOUN VERB ADP NOUN DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN
