Blows in combat also suffer a -1 on the dice roll to hit.	0 0 0 0 0 0 0 1 0 0 1 0 0	on a roll	literal	combined-other	NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN PART VERB	▁B low s ▁in ▁combat ▁also ▁suffer ▁a ▁-1 ▁on ▁the ▁dic e ▁roll ▁to ▁hit .	0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0	NOUN NOUN NOUN ADP NOUN ADV VERB DET NOUN ADP DET NOUN NOUN NOUN PART VERB VERB
One was that in many Phase 3 schools with fewer than 150 pupils on roll the allocation was only 0.5, giving them a much smaller range of support and development possibilities than was open to those schools with a full - time enhancement.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	deletion-determiner	NUM VERB ADP ADP ADJ NOUN NUM NOUN ADP ADJ ADP NUM NOUN ADP NOUN DET NOUN VERB ADV NUM VERB PRON DET ADV ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADP VERB ADJ ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN	▁One ▁was ▁that ▁in ▁many ▁Phase ▁3 ▁schools ▁with ▁fewer ▁than ▁150 ▁pupils ▁on ▁roll ▁the ▁allocation ▁was ▁only ▁0.5 , ▁giving ▁them ▁a ▁much ▁smaller ▁range ▁of ▁support ▁and ▁development ▁possibilities ▁than ▁was ▁open ▁to ▁those ▁schools ▁with ▁a ▁full ▁- ▁time ▁enhancement .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM VERB ADP ADP ADJ NOUN NUM NOUN ADP ADJ ADP NUM NOUN ADP NOUN DET NOUN VERB ADV NUM NUM VERB PRON DET ADV ADJ NOUN ADP NOUN CCONJ NOUN NOUN ADP VERB ADJ ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN NOUN
If a spell is cast against the bearer or against the unit he is with, then the spell is dispelled on the D6 roll of a 4 +.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	on a roll	literal	combined-other	ADP DET NOUN VERB VERB ADP DET NOUN CCONJ ADP DET NOUN PRON VERB ADP ADV DET NOUN VERB VERB ADP DET NOUN NOUN ADP DET NUM SYM	▁If ▁a ▁spell ▁is ▁cast ▁against ▁the ▁bear er ▁or ▁against ▁the ▁unit ▁he ▁is ▁with , ▁then ▁the ▁spell ▁is ▁di spelled ▁on ▁the ▁D 6 ▁roll ▁of ▁a ▁4 ▁+ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0	ADP DET NOUN VERB VERB ADP DET NOUN NOUN CCONJ ADP DET NOUN PRON VERB ADP ADP ADV DET NOUN VERB VERB VERB ADP DET NOUN NOUN NOUN ADP DET NUM SYM SYM
That was the danger as Arsenal, chasing success on two cup fronts but arriving on a roll of four straight wins and reinforced by the returns of Ian Wright, Lee Dixon and John Jensen, massed behind the ball and waited to pounce on the break.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	DET VERB DET NOUN ADP PROPN VERB NOUN ADP NUM NOUN NOUN CCONJ VERB ADP DET NOUN ADP NUM ADJ NOUN CCONJ VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB ADP DET NOUN CCONJ VERB PART VERB ADP DET NOUN	▁That ▁was ▁the ▁danger ▁as ▁Ar sen al , ▁cha s ing ▁success ▁on ▁two ▁cup ▁front s ▁but ▁arriving ▁on ▁a ▁roll ▁of ▁four ▁straight ▁win s ▁and ▁reinforced ▁by ▁the ▁returns ▁of ▁I an ▁W right , ▁Le e ▁D ix on ▁and ▁John ▁Jensen , ▁mass ed ▁behind ▁the ▁ball ▁and ▁waited ▁to ▁po unce ▁on ▁the ▁break .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET NOUN ADP PROPN PROPN PROPN PROPN VERB VERB VERB NOUN ADP NUM NOUN NOUN NOUN CCONJ VERB ADP DET NOUN ADP NUM ADJ NOUN NOUN CCONJ VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB ADP DET NOUN CCONJ VERB PART VERB VERB ADP DET NOUN NOUN
I 'm on a roll at the moment I feel nice and good, well balanced and I 'm stinging.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	PRON VERB ADP DET NOUN ADP DET NOUN PRON VERB ADJ CCONJ ADJ ADV ADJ CCONJ PRON VERB ADJ	▁I ▁' m ▁on ▁a ▁roll ▁at ▁the ▁moment ▁I ▁feel ▁nice ▁and ▁good , ▁well ▁balanced ▁and ▁I ▁' m ▁st ing ing .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP DET NOUN ADP DET NOUN PRON VERB ADJ CCONJ ADJ ADJ ADV ADJ CCONJ PRON VERB VERB ADJ ADJ ADJ ADJ
A delegation of 38 Saharan tribal elders ( 19 from Layoun under Moroccan control and 19 from Tindouf under Polisario control ) had met in Geneva on June 4 and had broadly agreed that 74,000 people listed on the census rolls drawn up by Spain for the referendum of 1974 would be eligible to vote.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-inflection	DET NOUN ADP NUM ADJ ADJ NOUN PUNCT NUM ADP PROPN ADP ADJ NOUN CCONJ NUM ADP PROPN ADP NOUN NOUN PUNCT VERB VERB ADP PROPN ADP PROPN NUM CCONJ VERB ADV VERB ADP NUM NOUN VERB ADP DET NOUN NOUN VERB PART ADP PROPN ADP DET NOUN ADP NUM VERB VERB ADJ PART VERB	▁A ▁delegation ▁of ▁38 ▁Sahara n ▁tri bal ▁elders ▁( ▁19 ▁from ▁Lay oun ▁under ▁Moroccan ▁control ▁and ▁19 ▁from ▁Tin d ouf ▁under ▁Poli s ario ▁control ▁ ) ▁had ▁met ▁in ▁Geneva ▁on ▁June ▁4 ▁and ▁had ▁broadly ▁agreed ▁that ▁7 4,000 ▁people ▁listed ▁on ▁the ▁census ▁rolls ▁drawn ▁up ▁by ▁Spain ▁for ▁the ▁referendum ▁of ▁1974 ▁would ▁be ▁eligible ▁to ▁vote .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NUM ADJ ADJ ADJ ADJ NOUN PUNCT NUM ADP PROPN PROPN ADP ADJ NOUN CCONJ NUM ADP PROPN PROPN PROPN ADP NOUN NOUN NOUN NOUN PUNCT PUNCT VERB VERB ADP PROPN ADP PROPN NUM CCONJ VERB ADV VERB ADP NUM NUM NOUN VERB ADP DET NOUN NOUN VERB PART ADP PROPN ADP DET NOUN ADP NUM VERB VERB ADJ PART VERB VERB
James's victory gave him 35 points to Lauda's 61, his car was clearly among the best, he had matured greatly as a driver, he was on a good roll himself : the championship seemed to be there for his taking.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	insertion-other	PROPN NOUN VERB PRON NUM NOUN ADP PROPN NUM ADJ NOUN VERB ADV ADP DET ADJ PRON VERB VERB ADV ADP DET NOUN PRON VERB ADP DET ADJ NOUN PRON PUNCT DET NOUN VERB PART VERB ADV ADP ADJ NOUN	▁James ' s ▁victory ▁gave ▁him ▁35 ▁points ▁to ▁La uda ' s ▁61 , ▁his ▁car ▁was ▁clearly ▁among ▁the ▁best , ▁he ▁had ▁matured ▁greatly ▁as ▁a ▁driver , ▁he ▁was ▁on ▁a ▁good ▁roll ▁himself ▁ : ▁the ▁champion ship ▁seemed ▁to ▁be ▁there ▁for ▁his ▁taking .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN NOUN VERB PRON NUM NOUN ADP PROPN PROPN PROPN PROPN NUM NUM ADJ NOUN VERB ADV ADP DET ADJ ADJ PRON VERB VERB ADV ADP DET NOUN NOUN PRON VERB ADP DET ADJ NOUN PRON PUNCT PUNCT DET NOUN NOUN VERB PART VERB ADV ADP ADJ NOUN NOUN
Salmon and you want salmon on rolls	0 0 0 0 0 1 1	on a roll	literal	deletion-determiner	PROPN CCONJ PRON VERB NOUN ADP NOUN	▁Salmon ▁and ▁you ▁want ▁salmon ▁on ▁rolls	0 0 0 0 0 1 1	PROPN CCONJ PRON VERB NOUN ADP NOUN
' I brought in the Readers ' Digests, ' she muttered, unable to apply the brakes when she 'd been on such a powerful roll.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	on a roll	figurative	insertion-other	PUNCT PRON VERB PART DET PROPN PART NOUN PUNCT PRON VERB ADJ PART VERB DET NOUN ADV PRON VERB VERB ADP ADJ DET ADJ NOUN	▁' ▁I ▁brought ▁in ▁the ▁Read ers ▁' ▁Di ges ts , ▁' ▁she ▁mut tered , ▁unable ▁to ▁apply ▁the ▁brakes ▁when ▁she ▁' d ▁been ▁on ▁such ▁a ▁powerful ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1	PUNCT PRON VERB PART DET PROPN PROPN PART NOUN NOUN NOUN NOUN PUNCT PRON VERB VERB VERB ADJ PART VERB DET NOUN ADV PRON VERB VERB VERB ADP ADJ DET ADJ NOUN NOUN
The terminals worked on a line by line basis, with the screen information scrolling upwards just as it would on a teleprinter roll.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on a roll	literal	insertion-other	DET NOUN VERB ADP DET NOUN ADP NOUN NOUN ADP DET NOUN NOUN VERB ADV ADV ADP PRON VERB ADP DET NOUN NOUN	▁The ▁terminals ▁worked ▁on ▁a ▁line ▁by ▁line ▁basis , ▁with ▁the ▁screen ▁information ▁sc rolling ▁upwards ▁just ▁as ▁it ▁would ▁on ▁a ▁tele print er ▁roll .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1	DET NOUN VERB ADP DET NOUN ADP NOUN NOUN NOUN ADP DET NOUN NOUN VERB VERB ADV ADV ADP PRON VERB ADP DET NOUN NOUN NOUN NOUN NOUN
Gloucester rugby are back in league action tomorrow … the cherry and whites are away to orrell … last time out they beat Northampton so let's hope they 're on a winning roll …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	on a roll	figurative	insertion-other	NOUN NOUN VERB ADV ADP NOUN NOUN NOUN PUNCT DET NOUN CCONJ NOUN VERB ADV PART VERB PUNCT ADJ NOUN PART PRON VERB PROPN ADV VERB VERB PRON VERB ADP DET VERB NOUN PUNCT	▁G lo uc ester ▁ rug by ▁are ▁back ▁in ▁league ▁action ▁tomorrow ▁... ▁the ▁cherry ▁and ▁white s ▁are ▁away ▁to ▁or re ll ▁... ▁last ▁time ▁out ▁they ▁beat ▁North ampton ▁so ▁let ' s ▁hope ▁they ▁' re ▁on ▁a ▁winning ▁roll ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB ADV ADP NOUN NOUN NOUN PUNCT DET NOUN CCONJ NOUN NOUN VERB ADV PART VERB VERB VERB PUNCT ADJ NOUN PART PRON VERB PROPN PROPN ADV VERB VERB VERB VERB PRON VERB VERB ADP DET VERB NOUN PUNCT
As he was only seventh on the Oxford roll in 1758, his last year, his place at the sister foundation ( New College, Oxford ) was by no means assured.	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	ADP PRON VERB ADV ADJ ADP DET PROPN NOUN ADP NUM ADJ ADJ NOUN ADJ NOUN ADP DET NOUN NOUN PUNCT PROPN PROPN PROPN PUNCT VERB ADP DET NOUN VERB	▁As ▁he ▁was ▁only ▁seventh ▁on ▁the ▁Oxford ▁roll ▁in ▁175 8, ▁his ▁last ▁year , ▁his ▁place ▁at ▁the ▁sister ▁foundation ▁( ▁New ▁College , ▁Oxford ▁ ) ▁was ▁by ▁no ▁means ▁assured .	0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB ADV ADJ ADP DET PROPN NOUN ADP NUM NUM ADJ ADJ NOUN NOUN ADJ NOUN ADP DET NOUN NOUN PUNCT PROPN PROPN PROPN PROPN PUNCT PUNCT VERB ADP DET NOUN VERB VERB
Salmon on the rolls, and	0 1 0 1 0	on a roll	literal	determiner-broad	NOUN ADP DET NOUN CCONJ	▁Salmon ▁on ▁the ▁rolls , ▁and	0 1 0 1 1 0	NOUN ADP DET NOUN NOUN CCONJ
Lucie was squatting on his bed - roll, sweating profusely, with one hand spread on his chest as though making a vow.	0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	PROPN VERB VERB ADP ADJ NOUN PUNCT NOUN NOUN ADV ADP NUM NOUN VERB ADP ADJ NOUN ADP ADP VERB DET NOUN	▁Luc ie ▁was ▁squa t ting ▁on ▁his ▁be d ▁- ▁roll , ▁sweating ▁pro fuse ly , ▁with ▁one ▁hand ▁spread ▁on ▁his ▁chest ▁as ▁though ▁making ▁a ▁v ow .	0 0 0 0 0 0 1 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB VERB VERB ADP ADJ NOUN NOUN PUNCT NOUN NOUN NOUN ADV ADV ADV ADV ADP NUM NOUN VERB ADP ADJ NOUN ADP ADP VERB DET NOUN NOUN NOUN
Models whose bases lie under the rest of the template are hit on the D6 roll of 4 +.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	on a roll	literal	combined-other	NOUN ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN ADP NUM SYM	▁Model s ▁whose ▁bases ▁lie ▁under ▁the ▁rest ▁of ▁the ▁template ▁are ▁hit ▁on ▁the ▁D 6 ▁roll ▁of ▁4 ▁+ .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0	NOUN NOUN ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB ADP DET NOUN NOUN NOUN ADP NUM SYM SYM
Because on, you have poppy seeds on rolls.	0 0 0 0 0 0 1 1	on a roll	literal	deletion-determiner	ADP ADV PRON VERB ADJ NOUN ADP NOUN	▁Because ▁on , ▁you ▁have ▁poppy ▁seeds ▁on ▁rolls .	0 0 0 0 0 0 0 1 1 1	ADP ADV ADV PRON VERB ADJ NOUN ADP NOUN NOUN
The mix of keening voices, dreamy storylines and unusual, far - off sounds brings to mind The Band when they were on a roll, and David Hidalgo in particular sounds like he's done his best ever work — conjuring up old ghosts and loser friends and working up a deal of sadness and unique moods from familiar instruments.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	figurative	identical	DET NOUN ADP VERB NOUN VERB NOUN CCONJ ADJ ADV PUNCT PART NOUN VERB PART VERB DET PROPN ADV PRON VERB ADP DET NOUN CCONJ PROPN PROPN ADP ADJ NOUN ADP PRON VERB ADJ ADJ ADV NOUN PUNCT VERB PART ADJ NOUN CCONJ NOUN NOUN CCONJ VERB PART DET NOUN ADP NOUN CCONJ ADJ NOUN ADP ADJ NOUN	▁The ▁mix ▁of ▁keen ing ▁voice s , ▁dream y ▁story lines ▁and ▁unusual , ▁far ▁- ▁off ▁sound s ▁bring s ▁to ▁mind ▁The ▁Band ▁when ▁they ▁were ▁on ▁a ▁roll , ▁and ▁David ▁H idal go ▁in ▁particular ▁sound s ▁like ▁he ' s ▁done ▁his ▁best ▁ever ▁work ▁ — ▁con jur ing ▁up ▁old ▁g host s ▁and ▁lose r ▁friends ▁and ▁working ▁up ▁a ▁deal ▁of ▁sad ness ▁and ▁unique ▁mood s ▁from ▁familiar ▁instruments .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP VERB VERB NOUN NOUN NOUN VERB VERB NOUN NOUN CCONJ ADJ ADJ ADV PUNCT PART NOUN NOUN VERB VERB PART VERB DET PROPN ADV PRON VERB ADP DET NOUN NOUN CCONJ PROPN PROPN PROPN PROPN ADP ADJ NOUN NOUN ADP PRON PRON PRON VERB ADJ ADJ ADV NOUN PUNCT PUNCT VERB VERB VERB PART ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN CCONJ VERB PART DET NOUN ADP NOUN NOUN CCONJ ADJ NOUN NOUN ADP ADJ NOUN NOUN
Curve are on a roll now.	0 0 1 0 1 0	on a roll	figurative	identical	NOUN VERB ADP DET NOUN ADV	▁Cur ve ▁are ▁on ▁a ▁roll ▁now .	0 0 0 1 0 1 0 0	NOUN NOUN VERB ADP DET NOUN ADV ADV
Anglo - Norman Armory ( Vols I & II ) by Cecil Humphery - Smith ( Canterbury 1978 ) is of value to the researcher needing assistance in identifying arms on early rolls.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on a roll	literal	determiner-broad	PROPN PUNCT PROPN PROPN PUNCT PROPN PROPN CCONJ PROPN PUNCT ADP PROPN PROPN PUNCT PROPN PUNCT PROPN NUM PUNCT VERB ADP NOUN ADP DET NOUN VERB NOUN ADP VERB NOUN ADP ADJ NOUN	▁Anglo ▁- ▁Norman ▁Arm ory ▁( ▁Vol s ▁I ▁& ▁II ▁ ) ▁by ▁C e cil ▁Hum pher y ▁- ▁Smith ▁( ▁Can ter bur y ▁1978 ▁ ) ▁is ▁of ▁value ▁to ▁the ▁research er ▁need ing ▁assistance ▁in ▁identifying ▁arms ▁on ▁early ▁rolls .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PROPN PUNCT PROPN PROPN PROPN PUNCT PROPN PROPN PROPN CCONJ PROPN PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT PROPN PROPN PROPN PROPN NUM PUNCT PUNCT VERB ADP NOUN ADP DET NOUN NOUN VERB VERB NOUN ADP VERB NOUN ADP ADJ NOUN NOUN
The largest school taking part in the scheme — Inverness High School — had 1,432 pupils on the secondary roll The smallest — Happyhansel in Shetland — had 15.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT PROPN PROPN PROPN PUNCT VERB NUM NOUN ADP DET ADJ NOUN DET ADJ PUNCT PROPN ADP PROPN PUNCT VERB NUM	▁The ▁largest ▁school ▁taking ▁part ▁in ▁the ▁scheme ▁ — ▁In ver ness ▁High ▁School ▁ — ▁had ▁1,4 32 ▁pupils ▁on ▁the ▁secondary ▁roll ▁The ▁smallest ▁ — ▁H app y han sel ▁in ▁Shetland ▁ — ▁had ▁15.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB NOUN ADP DET NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT VERB NUM NUM NOUN ADP DET ADJ NOUN DET ADJ PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN ADP PROPN PUNCT PUNCT VERB NUM
The fifteenth century saw the development of what was called copyhold tenure, by which a peasant possessed a copy of the entry on the manorial court roll which defined his rights and obligations, as the most common form of land - holding in early modern England.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	combined-other	DET ADJ NOUN VERB DET NOUN ADP NOUN VERB VERB ADJ NOUN ADP ADJ DET NOUN VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN NOUN ADJ VERB ADJ NOUN CCONJ NOUN ADP DET ADV ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ ADJ PROPN	▁The ▁fifteen th ▁century ▁saw ▁the ▁development ▁of ▁what ▁was ▁called ▁copy hold ▁ten ure , ▁by ▁which ▁a ▁peas ant ▁possess ed ▁a ▁copy ▁of ▁the ▁entry ▁on ▁the ▁man orial ▁court ▁roll ▁which ▁defined ▁his ▁rights ▁and ▁obligations , ▁as ▁the ▁most ▁common ▁form ▁of ▁land ▁- ▁holding ▁in ▁early ▁modern ▁England .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ ADJ NOUN VERB DET NOUN ADP NOUN VERB VERB ADJ ADJ NOUN NOUN NOUN ADP ADJ DET NOUN NOUN VERB VERB DET NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN NOUN ADJ VERB ADJ NOUN CCONJ NOUN NOUN ADP DET ADV ADJ NOUN ADP NOUN PUNCT NOUN ADP ADJ ADJ PROPN PROPN
A person who has been admitted as a solicitor and whose name is on the roll shall, if he would not otherwise be taken to be acting as a solicitor, be taken for the purposes of this Act to be so acting [ and therefore being required to hold a practising certificate]if he is employed in connection with the provision of any legal services ( a ) by any person who is qualified to act as a solicitor;(b ) by any partnership at least one member of which is so qualified ; or ( c ) by a body recognised by the Council of the Law Society under section 9 of the Administration of Justice Act 1985 ( incorporated practices ).	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on a roll	literal	determiner-narrow	DET NOUN NOUN VERB VERB VERB ADP DET NOUN CCONJ ADJ NOUN VERB ADP DET NOUN NOUN ADP PRON VERB ADV ADV VERB VERB PART VERB VERB ADP DET NOUN VERB VERB ADP DET NOUN ADP DET PROPN PART VERB ADV VERB PUNCT CCONJ ADV VERB VERB PART VERB DET NOUN NOUN PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT DET PUNCT ADP DET NOUN NOUN VERB ADJ PART VERB ADP DET NOUN PUNCT ADP DET NOUN ADP ADV NUM NOUN ADP ADJ VERB ADV ADJ PUNCT CCONJ PUNCT PUNCT PUNCT ADP DET NOUN VERB ADP DET PROPN ADP DET PROPN PROPN ADP NOUN NUM ADP DET PROPN ADP PROPN PROPN NUM PUNCT VERB NOUN PUNCT	▁A ▁person ▁who ▁has ▁been ▁admitted ▁as ▁a ▁so licit or ▁and ▁whose ▁name ▁is ▁on ▁the ▁roll ▁shall , ▁if ▁he ▁would ▁not ▁otherwise ▁be ▁taken ▁to ▁be ▁acting ▁as ▁a ▁so licit or , ▁be ▁taken ▁for ▁the ▁purposes ▁of ▁this ▁Act ▁to ▁be ▁so ▁acting ▁[ ▁and ▁therefore ▁being ▁required ▁to ▁hold ▁a ▁practising ▁certificate ] if ▁he ▁is ▁employed ▁in ▁connection ▁with ▁the ▁provision ▁of ▁any ▁legal ▁services ▁( ▁a ▁ ) ▁by ▁any ▁person ▁who ▁is ▁qualified ▁to ▁act ▁as ▁a ▁so licit or ; ( b ▁ ) ▁by ▁any ▁partnership ▁at ▁least ▁one ▁member ▁of ▁which ▁is ▁so ▁qualified ▁ ; ▁or ▁( ▁c ▁ ) ▁by ▁a ▁body ▁recognised ▁by ▁the ▁Council ▁of ▁the ▁Law ▁Society ▁under ▁section ▁9 ▁of ▁the ▁Administration ▁of ▁Justice ▁Act ▁1985 ▁( ▁incorporated ▁practices ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB VERB VERB ADP DET NOUN NOUN NOUN CCONJ ADJ NOUN VERB ADP DET NOUN NOUN NOUN ADP PRON VERB ADV ADV VERB VERB PART VERB VERB ADP DET NOUN NOUN NOUN NOUN VERB VERB ADP DET NOUN ADP DET PROPN PART VERB ADV VERB PUNCT CCONJ ADV VERB VERB PART VERB DET NOUN NOUN NOUN NOUN PRON VERB VERB ADP NOUN ADP DET NOUN ADP DET ADJ NOUN PUNCT DET PUNCT PUNCT ADP DET NOUN NOUN VERB ADJ PART VERB ADP DET NOUN NOUN NOUN NOUN NOUN NOUN PUNCT PUNCT ADP DET NOUN ADP ADV NUM NOUN ADP ADJ VERB ADV ADJ PUNCT PUNCT CCONJ PUNCT PUNCT PUNCT PUNCT ADP DET NOUN VERB ADP DET PROPN ADP DET PROPN PROPN ADP NOUN NUM ADP DET PROPN ADP PROPN PROPN NUM PUNCT VERB NOUN PUNCT PUNCT
