and so oh you really rocked the boat	0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	CCONJ ADV INTJ PRON ADV VERB DET NOUN	▁and ▁so ▁ oh ▁you ▁really ▁rock ed ▁the ▁boat	0 0 0 0 0 0 1 1 0 1	CCONJ ADV INTJ INTJ PRON ADV VERB VERB DET NOUN
Chuter - Ede advocated ‘ no rocking the boat’ ; as deputy to the President at the Board of Education he was heeded by Labour colleagues who wanted a systematic change.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	combined-inflection	PROPN PUNCT PROPN VERB PUNCT DET VERB DET NOUN PUNCT ADP NOUN ADP DET PROPN ADP DET PROPN ADP PROPN PRON VERB VERB ADP PROPN NOUN NOUN VERB DET ADJ NOUN	▁Ch uter ▁- ▁E de ▁advocate d ▁ ‘ ▁no ▁rock ing ▁the ▁boat ’ ▁ ; ▁as ▁deputy ▁to ▁the ▁President ▁at ▁the ▁Board ▁of ▁Education ▁he ▁was ▁heed ed ▁by ▁Labour ▁colleagues ▁who ▁wanted ▁a ▁systematic ▁change .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PUNCT PROPN PROPN VERB VERB PUNCT PUNCT DET VERB VERB DET NOUN NOUN PUNCT PUNCT ADP NOUN ADP DET PROPN ADP DET PROPN ADP PROPN PRON VERB VERB VERB ADP PROPN NOUN NOUN VERB DET ADJ NOUN NOUN
Don't rock the boat.’	0 1 0 1	rock the boat	figurative	dashes	VERB VERB DET X	▁Don ' t ▁rock ▁the ▁boat . ’	0 0 0 1 0 1 1 1	VERB VERB VERB VERB DET X X X
Injuries to Strachan and Sterland rocked the boat last year.	0 0 0 0 0 1 0 1 0 0	rock the boat	figurative	inflection	NOUN ADP PROPN CCONJ PROPN VERB DET NOUN ADJ NOUN	▁In ju ries ▁to ▁Stra chan ▁and ▁S ter land ▁rock ed ▁the ▁boat ▁last ▁year .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	NOUN NOUN NOUN ADP PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB DET NOUN ADJ NOUN NOUN
Rocking the boat	1 0 1	rock the boat	figurative	combined-inflection	VERB DET NOUN	▁Rock ing ▁the ▁boat	1 1 0 1	VERB VERB DET NOUN
’ There are enough opposition politicians and media commentators rocking the boat.	0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PUNCT ADV VERB ADJ NOUN NOUN CCONJ NOUN NOUN VERB DET NOUN	▁ ’ ▁There ▁are ▁enough ▁opposition ▁politician s ▁and ▁media ▁comment ators ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT ADV VERB ADJ NOUN NOUN NOUN CCONJ NOUN NOUN NOUN VERB VERB DET NOUN NOUN
As a result, many are eager to postpone any controversial policy decisions rather than rock the German political boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	rock the boat	figurative	insertion-other	ADP DET NOUN ADJ VERB ADJ PART VERB DET ADJ NOUN NOUN ADV ADP VERB DET ADJ ADJ NOUN	▁As ▁a ▁result , ▁many ▁are ▁eager ▁to ▁postpone ▁any ▁controversial ▁policy ▁decisions ▁rather ▁than ▁rock ▁the ▁German ▁political ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1	ADP DET NOUN NOUN ADJ VERB ADJ PART VERB DET ADJ NOUN NOUN ADV ADP VERB DET ADJ ADJ NOUN NOUN
The person was older than me and he's a bit higher up the rank than me and it's all about it probably comes with experience he's to stand for yourself really but it's when you 're our age and a bit younger you don't want to be seen to be rocking the boat if there's something that's going on that you don't agree with but you 're asked to do something that you don't want to do valid reasons you haven't got the time or it's not really up to you to do it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	DET NOUN VERB ADJ ADP PRON CCONJ PRON DET NOUN ADJ ADP DET NOUN ADP PRON CCONJ PRON ADV ADP PRON ADV VERB ADP NOUN PRON PART VERB ADP PRON ADV CCONJ PRON ADV PRON VERB ADJ NOUN CCONJ DET NOUN ADJ PRON VERB VERB PART VERB VERB PART VERB VERB DET NOUN ADP ADV NOUN ADJ VERB PART ADP PRON VERB VERB ADP CCONJ PRON VERB VERB PART VERB NOUN ADJ PRON VERB VERB PART VERB ADJ NOUN PRON VERB VERB DET NOUN CCONJ PRON ADV ADV ADP ADP PRON PART VERB PRON	▁The ▁person ▁was ▁older ▁than ▁me ▁and ▁he ' s ▁a ▁bit ▁higher ▁up ▁the ▁rank ▁than ▁me ▁and ▁it ' s ▁all ▁about ▁it ▁probably ▁comes ▁with ▁experience ▁he ' s ▁to ▁stand ▁for ▁yourself ▁really ▁but ▁it ' s ▁when ▁you ▁' re ▁our ▁age ▁and ▁a ▁bit ▁younger ▁you ▁don ' t ▁want ▁to ▁be ▁seen ▁to ▁be ▁rock ing ▁the ▁boat ▁if ▁there ' s ▁something ▁that ' s ▁going ▁on ▁that ▁you ▁don ' t ▁agree ▁with ▁but ▁you ▁' re ▁asked ▁to ▁do ▁something ▁that ▁you ▁don ' t ▁want ▁to ▁do ▁valid ▁reasons ▁you ▁have n ' t ▁got ▁the ▁time ▁or ▁it ' s ▁not ▁really ▁up ▁to ▁you ▁to ▁do ▁it	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB ADJ ADP PRON CCONJ PRON PRON PRON DET NOUN ADJ ADP DET NOUN ADP PRON CCONJ PRON PRON PRON ADV ADP PRON ADV VERB ADP NOUN PRON PRON PRON PART VERB ADP PRON ADV CCONJ PRON PRON PRON ADV PRON VERB VERB ADJ NOUN CCONJ DET NOUN ADJ PRON VERB VERB VERB VERB PART VERB VERB PART VERB VERB VERB DET NOUN ADP ADV ADV ADV NOUN ADJ ADJ ADJ VERB PART ADP PRON VERB VERB VERB VERB ADP CCONJ PRON VERB VERB VERB PART VERB NOUN ADJ PRON VERB VERB VERB VERB PART VERB ADJ NOUN PRON VERB VERB VERB VERB VERB DET NOUN CCONJ PRON PRON PRON ADV ADV ADP ADP PRON PART VERB PRON
Here huge surges of Pacific water — sensed as mere vibrations once they had rounded Cape Froward — now rocked their boats from stem to stern.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	literal	combined-inflection	ADV ADJ NOUN ADP PROPN NOUN PUNCT VERB ADP ADJ NOUN ADP PRON VERB VERB PROPN PROPN PUNCT ADV VERB ADJ NOUN ADP NOUN ADP NOUN	▁Here ▁huge ▁surge s ▁of ▁Pacific ▁water ▁ — ▁sense d ▁as ▁mere ▁vibration s ▁once ▁they ▁had ▁rounded ▁Cape ▁F ro ward ▁ — ▁now ▁rock ed ▁their ▁boats ▁from ▁stem ▁to ▁stern .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	ADV ADJ NOUN NOUN ADP PROPN NOUN PUNCT PUNCT VERB VERB ADP ADJ NOUN NOUN ADP PRON VERB VERB PROPN PROPN PROPN PROPN PUNCT PUNCT ADV VERB VERB ADJ NOUN ADP NOUN ADP NOUN NOUN
On the one hand we are being told we must deal with the deficit, and on the other that we must not close things and rock the boat with the NHS White Paper around.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	rock the boat	figurative	identical	ADP DET NUM NOUN PRON VERB VERB VERB PRON VERB VERB ADP DET NOUN CCONJ ADP DET ADJ ADP PRON VERB ADV VERB NOUN CCONJ VERB DET NOUN ADP DET PROPN PROPN PROPN NOUN	▁On ▁the ▁one ▁hand ▁we ▁are ▁being ▁told ▁we ▁must ▁deal ▁with ▁the ▁deficit , ▁and ▁on ▁the ▁other ▁that ▁we ▁must ▁not ▁close ▁things ▁and ▁rock ▁the ▁boat ▁with ▁the ▁N HS ▁White ▁Paper ▁around . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	ADP DET NUM NOUN PRON VERB VERB VERB PRON VERB VERB ADP DET NOUN NOUN CCONJ ADP DET ADJ ADP PRON VERB ADV VERB NOUN CCONJ VERB DET NOUN ADP DET PROPN PROPN PROPN PROPN NOUN NOUN NOUN
But now was not the time to rock the boat.	0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	CCONJ ADV VERB ADV DET NOUN PART VERB DET NOUN	▁But ▁now ▁was ▁not ▁the ▁time ▁to ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 1 0 1 1	CCONJ ADV VERB ADV DET NOUN PART VERB DET NOUN NOUN
Water shares, firm for most of the day, lost ground toward the close on fears that today's Ofwat measures on prices may rock the boat again.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock the boat	figurative	identical	NOUN NOUN NOUN ADP ADJ ADP DET NOUN VERB NOUN ADP DET NOUN ADP NOUN ADP NOUN PROPN NOUN ADP NOUN VERB VERB DET NOUN ADV	▁Water ▁shares , ▁firm ▁for ▁most ▁of ▁the ▁day , ▁lost ▁ground ▁toward ▁the ▁close ▁on ▁fears ▁that ▁today ' s ▁Of wa t ▁measures ▁on ▁prices ▁may ▁rock ▁the ▁boat ▁again .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	NOUN NOUN NOUN NOUN ADP ADJ ADP DET NOUN NOUN VERB NOUN ADP DET NOUN ADP NOUN ADP NOUN NOUN NOUN PROPN PROPN PROPN NOUN ADP NOUN VERB VERB DET NOUN ADV ADV
Despite Chinese official rhetoric about the need for a new global currency to replace the dollar, and US lawmakers ' flirtation with " Buy American " clauses ( which scares everyone, not just the Chinese ), no one will want to rock a boat that has almost capsized.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	determiner-narrow	ADP ADJ ADJ NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN PART VERB DET NOUN CCONJ PROPN NOUN PART NOUN ADP PUNCT PROPN ADJ PUNCT NOUN PUNCT ADJ VERB NOUN ADV ADV DET PROPN PUNCT DET NOUN VERB VERB PART VERB DET NOUN ADJ VERB ADV VERB	▁D espite ▁Chinese ▁official ▁rhe toric ▁about ▁the ▁need ▁for ▁a ▁new ▁global ▁currency ▁to ▁replace ▁the ▁dollar , ▁and ▁US ▁law makers ▁' ▁fl ir tation ▁with ▁" ▁Buy ▁American ▁" ▁clauses ▁( ▁which ▁scar es ▁everyone , ▁not ▁just ▁the ▁Chinese ▁ ), ▁no ▁one ▁will ▁want ▁to ▁rock ▁a ▁boat ▁that ▁has ▁almost ▁cap sized .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADP ADP ADJ ADJ NOUN NOUN ADP DET NOUN ADP DET ADJ ADJ NOUN PART VERB DET NOUN NOUN CCONJ PROPN NOUN NOUN PART NOUN NOUN NOUN ADP PUNCT PROPN ADJ PUNCT NOUN PUNCT ADJ VERB VERB NOUN NOUN ADV ADV DET PROPN PUNCT PUNCT DET NOUN VERB VERB PART VERB DET NOUN ADJ VERB ADV VERB VERB VERB
They are duly grateful to Joseph Kosuth for keeping the ball rolling while not rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB ADV ADJ ADP PROPN PROPN ADP VERB DET NOUN VERB ADP ADV VERB DET NOUN	▁They ▁are ▁duly ▁grateful ▁to ▁Joseph ▁Ko s uth ▁for ▁keeping ▁the ▁ball ▁rolling ▁while ▁not ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB ADV ADJ ADP PROPN PROPN PROPN PROPN ADP VERB DET NOUN VERB ADP ADV VERB VERB DET NOUN NOUN
But he was not one to rock the boat, kept his feelings to himself and quietly followed his vocation.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	rock the boat	figurative	identical	CCONJ PRON VERB ADV NUM PART VERB DET NOUN VERB ADJ NOUN ADP PRON CCONJ ADV VERB ADJ NOUN	▁But ▁he ▁was ▁not ▁one ▁to ▁rock ▁the ▁boat , ▁kept ▁his ▁feelings ▁to ▁himself ▁and ▁quiet ly ▁followed ▁his ▁ vocation .	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB ADV NUM PART VERB DET NOUN NOUN VERB ADJ NOUN ADP PRON CCONJ ADV ADV VERB ADJ NOUN NOUN NOUN
The manager comes out and looks at us, decides not to rock the boat on such a big order.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	identical	DET NOUN VERB PART CCONJ VERB ADP PRON VERB ADV PART VERB DET NOUN ADP ADJ DET ADJ NOUN	▁The ▁manager ▁comes ▁out ▁and ▁looks ▁at ▁us , ▁decides ▁not ▁to ▁rock ▁the ▁boat ▁on ▁such ▁a ▁big ▁order .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET NOUN VERB PART CCONJ VERB ADP PRON PRON VERB ADV PART VERB DET NOUN ADP ADJ DET ADJ NOUN NOUN
The boat might be rocked but it would not ship water.	0 1 0 0 1 0 0 0 0 0 0	rock the boat	figurative	misc	DET NOUN VERB VERB VERB CCONJ PRON VERB ADV VERB NOUN	▁The ▁boat ▁might ▁be ▁rock ed ▁but ▁it ▁would ▁not ▁ship ▁water .	0 1 0 0 1 1 0 0 0 0 0 0 0	DET NOUN VERB VERB VERB VERB CCONJ PRON VERB ADV VERB NOUN NOUN
the only way of doing it, except you know, you 're known for, for all the good things, the good things you do just make certain that er we don't rock the boat so you, so you	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock the boat	figurative	identical	DET ADJ NOUN ADP VERB PRON ADP PRON VERB PRON VERB VERB ADP ADP ADJ DET ADJ NOUN DET ADJ NOUN PRON VERB ADV VERB ADJ ADP INTJ PRON VERB VERB DET NOUN ADP PRON ADV PRON	▁the ▁only ▁way ▁of ▁doing ▁it , ▁except ▁you ▁know , ▁you ▁' re ▁known ▁for , ▁for ▁all ▁the ▁good ▁things , ▁the ▁good ▁things ▁you ▁do ▁just ▁make ▁certain ▁that ▁er ▁we ▁don ' t ▁rock ▁the ▁boat ▁so ▁you , ▁so ▁you	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET ADJ NOUN ADP VERB PRON PRON ADP PRON VERB VERB PRON VERB VERB VERB ADP ADP ADP ADJ DET ADJ NOUN NOUN DET ADJ NOUN PRON VERB ADV VERB ADJ ADP INTJ PRON VERB VERB VERB VERB DET NOUN ADP PRON PRON ADV PRON
Cautious by nature, Simpkin was not going to rock the boat more than necessary.	0 0 0 0 0 0 0 0 1 0 1 0 0 0	rock the boat	figurative	identical	ADJ ADP NOUN PROPN VERB ADV VERB PART VERB DET NOUN ADJ ADP ADJ	▁C aut ious ▁by ▁nature , ▁S imp kin ▁was ▁not ▁going ▁to ▁rock ▁the ▁boat ▁more ▁than ▁necessary .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADJ ADJ ADJ ADP NOUN NOUN PROPN PROPN PROPN VERB ADV VERB PART VERB DET NOUN ADJ ADP ADJ ADJ
The likeliest explanation of his defeat in the executive's constituency section vote is that party activists wanted to rebuke him for publicly rocking the boat during the passage of the policy review.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	rock the boat	figurative	inflection	DET ADJ NOUN ADP ADJ NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN VERB PART VERB PRON ADP ADV VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN	▁The ▁like li est ▁explanation ▁of ▁his ▁defeat ▁in ▁the ▁executive ' s ▁constituency ▁section ▁vote ▁is ▁that ▁party ▁activists ▁wanted ▁to ▁re b uke ▁him ▁for ▁publicly ▁rock ing ▁the ▁boat ▁during ▁the ▁passage ▁of ▁the ▁policy ▁review .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	DET ADJ ADJ ADJ NOUN ADP ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN VERB ADP NOUN NOUN VERB PART VERB VERB VERB PRON ADP ADV VERB VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
A few weeks on the job and the Santa Cruz Operation Inc's new boss Lars Turndal is talking about trying to figure out a way to change the company's ‘ old - fashioned distribution model’ without rocking the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	DET ADJ NOUN ADP DET NOUN CCONJ DET PROPN PROPN PROPN PROPN ADJ NOUN PROPN PROPN VERB VERB ADP VERB PART VERB PART DET NOUN PART VERB DET NOUN PUNCT ADJ PUNCT ADJ NOUN PROPN ADP VERB DET NOUN	▁A ▁few ▁weeks ▁on ▁the ▁job ▁and ▁the ▁Santa ▁Cr uz ▁Operation ▁Inc ' s ▁new ▁bo s s ▁Lar s ▁Turn dal ▁is ▁talking ▁about ▁trying ▁to ▁figure ▁out ▁a ▁way ▁to ▁change ▁the ▁company ' s ▁ ‘ ▁old ▁- ▁fashion ed ▁distribution ▁model ’ ▁without ▁rock ing ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET ADJ NOUN ADP DET NOUN CCONJ DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN VERB VERB ADP VERB PART VERB PART DET NOUN PART VERB DET NOUN NOUN NOUN PUNCT PUNCT ADJ PUNCT ADJ ADJ NOUN PROPN PROPN ADP VERB VERB DET NOUN NOUN
I suppose now you 're going to get timid, and tell me not to rock the boat.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	dashes	PRON VERB ADV PRON VERB VERB PART VERB ADJ CCONJ VERB PRON ADV PART VERB DET NOUN	▁I ▁suppose ▁now ▁you ▁' re ▁going ▁to ▁get ▁timid , ▁and ▁tell ▁me ▁not ▁to ▁rock ▁the ▁boat . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB ADV PRON VERB VERB VERB PART VERB ADJ ADJ CCONJ VERB PRON ADV PART VERB DET NOUN NOUN NOUN
What is needed, instead, is a “ stability league ” that includes prominent actors like China, India, and other countries that are more interested in economic growth than in “ rocking the boat ” of the international system.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock the boat	figurative	inflection	NOUN VERB VERB ADV VERB DET PUNCT NOUN NOUN PUNCT ADJ VERB ADJ NOUN ADP PROPN PROPN CCONJ ADJ NOUN ADJ VERB ADV ADJ ADP ADJ NOUN ADP ADP PUNCT VERB DET NOUN PUNCT ADP DET ADJ NOUN	▁What ▁is ▁needed , ▁instead , ▁is ▁a ▁ “ ▁stability ▁league ▁ ” ▁that ▁includes ▁prominent ▁actors ▁like ▁China , ▁India , ▁and ▁other ▁countries ▁that ▁are ▁more ▁interested ▁in ▁economic ▁growth ▁than ▁in ▁ “ ▁rock ing ▁the ▁boat ▁ ” ▁of ▁the ▁international ▁system .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	NOUN VERB VERB VERB ADV ADV VERB DET PUNCT PUNCT NOUN NOUN PUNCT PUNCT ADJ VERB ADJ NOUN ADP PROPN PROPN PROPN PROPN CCONJ ADJ NOUN ADJ VERB ADV ADJ ADP ADJ NOUN ADP ADP PUNCT PUNCT VERB VERB DET NOUN PUNCT PUNCT ADP DET ADJ NOUN NOUN
Rocking the boat	1 0 1	rock the boat	figurative	combined-inflection	VERB DET NOUN	▁Rock ing ▁the ▁boat	1 1 0 1	VERB VERB DET NOUN
He had picked up the pieces after the war and it must have come as a total shock to someone with his background to find players in his side who rocked the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	inflection	PRON VERB VERB PART DET NOUN ADP DET NOUN CCONJ PRON VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN PART VERB NOUN ADP ADJ NOUN NOUN VERB DET NOUN	▁He ▁had ▁picked ▁up ▁the ▁pieces ▁after ▁the ▁war ▁and ▁it ▁must ▁have ▁come ▁as ▁a ▁total ▁shock ▁to ▁someone ▁with ▁his ▁background ▁to ▁find ▁players ▁in ▁his ▁side ▁who ▁rock ed ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB VERB PART DET NOUN ADP DET NOUN CCONJ PRON VERB VERB VERB ADP DET ADJ NOUN ADP NOUN ADP ADJ NOUN PART VERB NOUN ADP ADJ NOUN NOUN VERB VERB DET NOUN NOUN
The intolerance he had shown for free - traders before 1914 was now turned on rebel Unionists who rocked the coalition boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	rock the boat	figurative	combined-inflection	DET NOUN PRON VERB VERB ADP ADJ PUNCT NOUN ADP NUM VERB ADV VERB PART ADJ NOUN NOUN VERB DET NOUN NOUN	▁The ▁intolerance ▁he ▁had ▁shown ▁for ▁free ▁- ▁traders ▁before ▁19 14 ▁was ▁now ▁turned ▁on ▁rebel ▁Union ists ▁who ▁rock ed ▁the ▁coal ition ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 1 1	DET NOUN PRON VERB VERB ADP ADJ PUNCT NOUN ADP NUM NUM VERB ADV VERB PART ADJ NOUN NOUN NOUN VERB VERB DET NOUN NOUN NOUN NOUN
out 16 premiers agreed to moving the Upper House ( Bundesrat ) to Berlin, but claimed that Bavaria had rocked the boat not having cleared their proposal with the other premiers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	rock the boat	figurative	inflection	ADV NUM NOUN VERB ADP VERB DET PROPN PROPN PUNCT PROPN PUNCT ADP PROPN CCONJ VERB ADP PROPN VERB VERB DET NOUN ADV VERB VERB ADJ NOUN ADP DET ADJ NOUN	▁out ▁16 ▁pre mi ers ▁agreed ▁to ▁moving ▁the ▁Upper ▁House ▁( ▁Bundes rat ▁ ) ▁to ▁Berlin , ▁but ▁claimed ▁that ▁Bavaria ▁had ▁rock ed ▁the ▁boat ▁not ▁having ▁cleared ▁their ▁proposal ▁with ▁the ▁other ▁pre mi ers .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV NUM NOUN NOUN NOUN VERB ADP VERB DET PROPN PROPN PUNCT PROPN PROPN PUNCT PUNCT ADP PROPN PROPN CCONJ VERB ADP PROPN VERB VERB VERB DET NOUN ADV VERB VERB ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN
The list itself is secret, although it is a fair bet that it contains only a few genuinely brilliant minds, and fewer still who are likely to rock the boat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock the boat	figurative	identical	DET NOUN PRON VERB ADJ ADP PRON VERB DET ADJ NOUN ADP PRON VERB ADV DET ADJ ADV ADJ NOUN CCONJ ADJ ADV NOUN VERB ADJ PART VERB DET NOUN	▁The ▁list ▁itself ▁is ▁secret , ▁although ▁it ▁is ▁a ▁fair ▁be t ▁that ▁it ▁contains ▁only ▁a ▁few ▁genuine ly ▁brilliant ▁minds , ▁and ▁fewer ▁still ▁who ▁are ▁likely ▁to ▁rock ▁the ▁boat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	DET NOUN PRON VERB ADJ ADJ ADP PRON VERB DET ADJ NOUN NOUN ADP PRON VERB ADV DET ADJ ADV ADV ADJ NOUN NOUN CCONJ ADJ ADV NOUN VERB ADJ PART VERB DET NOUN NOUN
