Then once more out of the blue he said quietly, ‘ Are you elect?’	0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV PUNCT VERB PRON ADJ	▁Then ▁once ▁more ▁out ▁of ▁the ▁blue ▁he ▁said ▁quiet ly , ▁ ‘ ▁Are ▁you ▁elect ? ’	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP ADP DET NOUN PRON VERB ADV ADV ADV PUNCT PUNCT VERB PRON ADJ ADJ ADJ
When positive news did come, it again seemed to arrive out of the blue.	0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	ADV ADJ NOUN VERB VERB PRON ADV VERB PART VERB ADP ADP DET NOUN	▁When ▁positive ▁new s ▁did ▁come , ▁it ▁again ▁seemed ▁to ▁arrive ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV ADJ NOUN NOUN VERB VERB VERB PRON ADV VERB PART VERB ADP ADP DET NOUN NOUN
‘ I bet what happened was, just after you called him, this witch turns up out of the blue.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	dashes	PUNCT PRON VERB NOUN VERB VERB ADV ADP PRON VERB PRON DET NOUN VERB PART ADP ADP DET NOUN	▁ ‘ ▁I ▁be t ▁what ▁happened ▁was , ▁just ▁after ▁you ▁called ▁him , ▁this ▁w itch ▁turns ▁up ▁out ▁of ▁the ▁blue . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT PUNCT PRON VERB VERB NOUN VERB VERB VERB ADV ADP PRON VERB PRON PRON DET NOUN NOUN VERB PART ADP ADP DET NOUN NOUN NOUN
Then, on 8 May, the Secretary of State suddenly announced out of the blue that the advertising of that post was to be put on ice.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP NUM PROPN DET PROPN ADP PROPN ADV VERB ADP ADP DET NOUN ADJ DET NOUN ADP DET NOUN VERB PART VERB VERB ADP NOUN	▁Then , ▁on ▁8 ▁May , ▁the ▁Secretary ▁of ▁State ▁suddenly ▁announced ▁out ▁of ▁the ▁blue ▁that ▁the ▁advertising ▁of ▁that ▁post ▁was ▁to ▁be ▁put ▁on ▁ice .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP NUM PROPN PROPN DET PROPN ADP PROPN ADV VERB ADP ADP DET NOUN ADJ DET NOUN ADP DET NOUN VERB PART VERB VERB ADP NOUN NOUN
That is to say, heroin use does not come ‘ out of the blue’ ; people are initiated into it via social mechanisms that include ideologies as to what constitutes acceptable and unacceptable behaviour.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	dashes	DET VERB PART VERB NOUN NOUN VERB ADV VERB PRON ADP ADP DET NOUN PUNCT NOUN VERB VERB ADP PRON ADP ADJ NOUN ADJ VERB NOUN ADP ADP NOUN VERB ADJ CCONJ ADJ NOUN	▁That ▁is ▁to ▁say , ▁heroin ▁use ▁does ▁not ▁come ▁ ‘ ▁out ▁of ▁the ▁blue ’ ▁ ; ▁people ▁are ▁initiated ▁into ▁it ▁via ▁social ▁mechanisms ▁that ▁include ▁ideolog ies ▁as ▁to ▁what ▁constitutes ▁acceptable ▁and ▁unacceptable ▁behaviour .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB PART VERB VERB NOUN NOUN VERB ADV VERB PRON PRON ADP ADP DET NOUN NOUN PUNCT PUNCT NOUN VERB VERB ADP PRON ADP ADJ NOUN ADJ VERB NOUN NOUN ADP ADP NOUN VERB ADJ CCONJ ADJ NOUN NOUN
Then, out of the blue, Simon and Moscato announced after a considered assessment they had decided to opt out of the French national squad's World Cup preparations.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ PROPN CCONJ PROPN VERB ADP DET VERB NOUN PRON VERB VERB PART VERB ADP ADP DET ADJ ADJ NOUN PROPN PROPN NOUN	▁Then , ▁out ▁of ▁the ▁blue , ▁Simon ▁and ▁Mos c ato ▁announced ▁after ▁a ▁considered ▁assessment ▁they ▁had ▁decided ▁to ▁opt ▁out ▁of ▁the ▁French ▁national ▁squa d ' s ▁World ▁C up ▁preparations .	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP ADP DET ADJ ADJ PROPN CCONJ PROPN PROPN PROPN VERB ADP DET VERB NOUN PRON VERB VERB PART VERB ADP ADP DET ADJ ADJ NOUN NOUN NOUN NOUN PROPN PROPN PROPN NOUN NOUN
What a queer thing, Uncle Walter phoning like that out of the blue,’ she said, taking off her coat.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	out of the blue	figurative	dashes	ADJ DET ADJ NOUN PROPN PROPN VERB ADP DET ADP ADP DET NOUN PRON VERB VERB PART ADJ NOUN	▁What ▁a ▁que er ▁thing , ▁Un cle ▁Walter ▁ phon ing ▁like ▁that ▁out ▁of ▁the ▁blue , ’ ▁she ▁said , ▁taking ▁off ▁her ▁coat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0	ADJ DET ADJ ADJ NOUN NOUN PROPN PROPN PROPN VERB VERB VERB ADP DET ADP ADP DET NOUN NOUN NOUN PRON VERB VERB VERB PART ADJ NOUN NOUN
The schedule designer must for every be putting himself or herself into the respondents ' shoes and trying to imagine what it would be like to be asked this question by a stranger who just turned up a few minutes ago out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	DET NOUN NOUN VERB ADP DET VERB VERB PRON CCONJ PRON ADP DET NOUN PART NOUN CCONJ VERB PART VERB NOUN PRON VERB VERB ADP PART VERB VERB DET NOUN ADP DET NOUN NOUN ADV VERB PART DET ADJ NOUN ADV ADP ADP DET NOUN	▁The ▁schedule ▁design er ▁must ▁for ▁every ▁be ▁putting ▁himself ▁or ▁herself ▁into ▁the ▁respondents ▁' ▁shoes ▁and ▁trying ▁to ▁imagine ▁what ▁it ▁would ▁be ▁like ▁to ▁be ▁asked ▁this ▁question ▁by ▁a ▁stranger ▁who ▁just ▁turned ▁up ▁a ▁few ▁minutes ▁ago ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN NOUN NOUN VERB ADP DET VERB VERB PRON CCONJ PRON ADP DET NOUN PART NOUN CCONJ VERB PART VERB NOUN PRON VERB VERB ADP PART VERB VERB DET NOUN ADP DET NOUN NOUN ADV VERB PART DET ADJ NOUN ADV ADP ADP DET NOUN NOUN
It is important to remember that illness does not strike ‘ out of the blue’ even though it may seem that way at times.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PRON VERB ADJ PART VERB ADP NOUN VERB ADV VERB PRON ADP ADP DET NOUN ADV ADP PRON VERB VERB DET NOUN ADP NOUN	▁It ▁is ▁important ▁to ▁remember ▁that ▁illness ▁does ▁not ▁strike ▁ ‘ ▁out ▁of ▁the ▁blue ’ ▁even ▁though ▁it ▁may ▁seem ▁that ▁way ▁at ▁times .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PART VERB ADP NOUN VERB ADV VERB PRON PRON ADP ADP DET NOUN NOUN ADV ADP PRON VERB VERB DET NOUN ADP NOUN NOUN
Then suddenly I had a phone call, which really was out of the blue because if anything I had been expecting a letter.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADV PRON VERB DET NOUN NOUN ADJ ADV VERB ADP ADP DET NOUN ADP ADP NOUN PRON VERB VERB VERB DET NOUN	▁Then ▁suddenly ▁I ▁had ▁a ▁phone ▁call , ▁which ▁really ▁was ▁out ▁of ▁the ▁blue ▁because ▁if ▁anything ▁I ▁had ▁been ▁expecting ▁a ▁letter .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB DET NOUN NOUN NOUN ADJ ADV VERB ADP ADP DET NOUN ADP ADP NOUN PRON VERB VERB VERB DET NOUN NOUN
‘ As for my standing up for you,’ he said now, out of the blue, ‘ why don't you want me to?’	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	PUNCT ADP ADP ADJ NOUN PART ADP NOUN PRON VERB ADV ADP ADP DET ADJ PUNCT ADV VERB PRON VERB PRON ADV	▁ ‘ ▁As ▁for ▁my ▁standing ▁up ▁for ▁you , ’ ▁he ▁said ▁now , ▁out ▁of ▁the ▁blue , ▁ ‘ ▁why ▁don ' t ▁you ▁want ▁me ▁to ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP ADP ADJ NOUN PART ADP NOUN NOUN NOUN PRON VERB ADV ADV ADP ADP DET ADJ ADJ PUNCT PUNCT ADV VERB VERB VERB PRON VERB PRON ADV ADV ADV
One punter refers to a typically fateful day : 1 August 1988 - " … the day I returned from a holiday abroad, Harvard telephoned me out of the blue ( 8th April 1986 ), and a chap who sounded like an enthusiastic young cockney told me how wonderful Towerbell was and that it was going places with top stars in tow! "	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	NUM NOUN VERB ADP DET ADV ADJ NOUN PUNCT NUM PROPN NUM PUNCT PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADV PROPN VERB PRON ADP ADP DET ADJ PUNCT ADJ PROPN NUM PUNCT CCONJ DET NOUN NOUN VERB ADP DET ADJ ADJ NOUN VERB PRON ADV ADJ PROPN VERB CCONJ ADP PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN PUNCT	▁One ▁p unt er ▁refers ▁to ▁a ▁typically ▁fate ful ▁day ▁ : ▁1 ▁August ▁1988 ▁- ▁" ▁... ▁the ▁day ▁I ▁returned ▁from ▁a ▁holiday ▁abroad , ▁Har var d ▁telephone d ▁me ▁out ▁of ▁the ▁blue ▁( ▁8 th ▁April ▁1986 ▁ ), ▁and ▁a ▁chap ▁who ▁sound ed ▁like ▁an ▁enthusiastic ▁young ▁ cock ney ▁told ▁me ▁how ▁wonderful ▁Tower b ell ▁was ▁and ▁that ▁it ▁was ▁going ▁places ▁with ▁top ▁stars ▁in ▁to w ! ▁"	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NOUN NOUN NOUN VERB ADP DET ADV ADJ ADJ NOUN PUNCT PUNCT NUM PROPN NUM PUNCT PUNCT PUNCT DET NOUN PRON VERB ADP DET NOUN ADV ADV PROPN PROPN PROPN VERB VERB PRON ADP ADP DET ADJ PUNCT ADJ ADJ PROPN NUM PUNCT PUNCT CCONJ DET NOUN NOUN VERB VERB ADP DET ADJ ADJ NOUN NOUN NOUN VERB PRON ADV ADJ PROPN PROPN PROPN VERB CCONJ ADP PRON VERB VERB NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN PUNCT
Well, she's been having an affair with this bloke for the last year or so and then out of the blue he turned round and …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	out of the blue	figurative	identical	INTJ PRON VERB VERB DET NOUN ADP DET NOUN ADP DET ADJ NOUN CCONJ ADV CCONJ ADV ADP ADP DET NOUN PRON VERB ADV CCONJ PUNCT	▁Well , ▁she ' s ▁been ▁having ▁an ▁affair ▁with ▁this ▁b lo ke ▁for ▁the ▁last ▁year ▁or ▁so ▁and ▁then ▁out ▁of ▁the ▁blue ▁he ▁turned ▁round ▁and ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	INTJ INTJ PRON PRON PRON VERB VERB DET NOUN ADP DET NOUN NOUN NOUN ADP DET ADJ NOUN CCONJ ADV CCONJ ADV ADP ADP DET NOUN PRON VERB ADV CCONJ PUNCT
( g ) We do not know what the mother said to Miss T., because she has not chosen to tell the court, but it appears to be the fact that on the two occasions when Miss T. raised the issue of blood transfusions, she did so suddenly and ‘ out of the blue’ without any inquiry from hospital staff and immediately following occasions when she had been alone with her mother.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PUNCT PUNCT PUNCT PRON VERB ADV VERB NOUN DET NOUN VERB ADP PROPN PROPN ADP PRON VERB ADV VERB PART VERB DET NOUN CCONJ PRON VERB PART VERB DET NOUN ADP ADP DET NUM NOUN ADV PROPN PROPN VERB DET NOUN ADP NOUN NOUN PRON VERB ADV ADV CCONJ VERB ADP ADP DET NOUN ADP DET NOUN ADP NOUN NOUN CCONJ ADV VERB NOUN ADV PRON VERB VERB ADJ ADP ADJ NOUN	▁( ▁g ▁ ) ▁We ▁do ▁not ▁know ▁what ▁the ▁mother ▁said ▁to ▁Miss ▁T . , ▁because ▁she ▁has ▁not ▁chosen ▁to ▁tell ▁the ▁court , ▁but ▁it ▁appears ▁to ▁be ▁the ▁fact ▁that ▁on ▁the ▁two ▁occasions ▁when ▁Miss ▁T . ▁raised ▁the ▁issue ▁of ▁blood ▁transfusion s , ▁she ▁did ▁so ▁suddenly ▁and ▁ ‘ ▁out ▁of ▁the ▁blue ’ ▁without ▁any ▁inquiry ▁from ▁hospital ▁staff ▁and ▁immediately ▁following ▁occasions ▁when ▁she ▁had ▁been ▁alone ▁with ▁her ▁mother .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PUNCT PUNCT PRON VERB ADV VERB NOUN DET NOUN VERB ADP PROPN PROPN PROPN PROPN ADP PRON VERB ADV VERB PART VERB DET NOUN NOUN CCONJ PRON VERB PART VERB DET NOUN ADP ADP DET NUM NOUN ADV PROPN PROPN PROPN VERB DET NOUN ADP NOUN NOUN NOUN NOUN PRON VERB ADV ADV CCONJ VERB VERB ADP ADP DET NOUN NOUN ADP DET NOUN ADP NOUN NOUN CCONJ ADV VERB NOUN ADV PRON VERB VERB ADJ ADP ADJ NOUN NOUN
You turn up out of the blue with some cock and bull story	0 0 0 1 1 0 1 0 0 0 0 0 0	out of the blue	figurative	identical	PRON VERB PART ADP ADP DET NOUN ADP DET NOUN CCONJ NOUN NOUN	▁You ▁turn ▁up ▁out ▁of ▁the ▁blue ▁with ▁some ▁ cock ▁and ▁bull ▁story	0 0 0 1 1 0 1 0 0 0 0 0 0 0	PRON VERB PART ADP ADP DET NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN
Suddenly out of the blue I received a tape from one of the members of the self - organizing group, the Liberation Network of People With Disabilities.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ PRON VERB DET NOUN ADP NUM ADP DET NOUN ADP DET NOUN PUNCT VERB NOUN DET PROPN PROPN ADP PROPN ADP PROPN	▁Sudden ly ▁out ▁of ▁the ▁blue ▁I ▁received ▁a ▁tape ▁from ▁one ▁of ▁the ▁members ▁of ▁the ▁self ▁- ▁organiz ing ▁group , ▁the ▁L iberation ▁Network ▁of ▁People ▁With ▁Dis a bilities .	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP ADP DET ADJ PRON VERB DET NOUN ADP NUM ADP DET NOUN ADP DET NOUN PUNCT VERB VERB NOUN NOUN DET PROPN PROPN PROPN ADP PROPN ADP PROPN PROPN PROPN PROPN
Many, if not most, events implicated in depression do not occur out of the blue.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	ADJ ADP ADV ADJ NOUN VERB ADP NOUN VERB ADV VERB ADP ADP DET NOUN	▁Many , ▁if ▁not ▁most , ▁events ▁implicate d ▁in ▁depression ▁do ▁not ▁occur ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADJ ADJ ADP ADV ADJ ADJ NOUN VERB VERB ADP NOUN VERB ADV VERB ADP ADP DET NOUN NOUN
She said yesterday : ‘ The proposal came out of the blue.	0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PRON VERB NOUN PUNCT PUNCT DET NOUN VERB ADP ADP DET NOUN	▁She ▁said ▁yesterday ▁ : ▁ ‘ ▁The ▁proposal ▁came ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB NOUN PUNCT PUNCT PUNCT PUNCT DET NOUN VERB ADP ADP DET NOUN NOUN
But families do not just decide, for the first time in history, to adopt contraception out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	CCONJ NOUN VERB ADV ADV VERB ADP DET ADJ NOUN ADP NOUN PART VERB NOUN ADP ADP DET NOUN	▁But ▁families ▁do ▁not ▁just ▁decide , ▁for ▁the ▁first ▁time ▁in ▁history , ▁to ▁adopt ▁contraception ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	CCONJ NOUN VERB ADV ADV VERB VERB ADP DET ADJ NOUN ADP NOUN NOUN PART VERB NOUN ADP ADP DET NOUN NOUN
If God is truly to begin again, then he must start with a child born out of the blue, a child most decidedly of his making.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADP PROPN VERB ADV PART VERB ADV ADV PRON VERB VERB ADP DET NOUN VERB ADP ADP DET ADJ DET NOUN ADV ADV ADP ADJ NOUN	▁If ▁God ▁is ▁truly ▁to ▁begin ▁again , ▁then ▁he ▁must ▁start ▁with ▁a ▁child ▁born ▁out ▁of ▁the ▁blue , ▁a ▁child ▁most ▁decided ly ▁of ▁his ▁making .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0	ADP PROPN VERB ADV PART VERB ADV ADV ADV PRON VERB VERB ADP DET NOUN VERB ADP ADP DET ADJ ADJ DET NOUN ADV ADV ADV ADP ADJ NOUN NOUN
Well hardly out of the blue, they asked for it a week ago.	0 0 1 1 0 1 0 0 0 0 0 0 0	out of the blue	figurative	identical	INTJ ADV ADP ADP DET ADJ PRON VERB ADP PRON DET NOUN ADV	▁Well ▁hardly ▁out ▁of ▁the ▁blue , ▁they ▁asked ▁for ▁it ▁a ▁week ▁ago .	0 0 1 1 0 1 1 0 0 0 0 0 0 0 0	INTJ ADV ADP ADP DET ADJ ADJ PRON VERB ADP PRON DET NOUN ADV ADV
Then out of the blue he got a phone call asking if he was still interested in the car as it had to be sold to make space for the family.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET NOUN PRON VERB DET NOUN NOUN VERB ADP PRON VERB ADV ADJ ADP DET NOUN ADP PRON VERB PART VERB VERB PART VERB NOUN ADP DET NOUN	▁Then ▁out ▁of ▁the ▁blue ▁he ▁got ▁a ▁phone ▁call ▁asking ▁if ▁he ▁was ▁still ▁interested ▁in ▁the ▁car ▁as ▁it ▁had ▁to ▁be ▁sold ▁to ▁make ▁space ▁for ▁the ▁family .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADP ADP DET NOUN PRON VERB DET NOUN NOUN VERB ADP PRON VERB ADV ADJ ADP DET NOUN ADP PRON VERB PART VERB VERB PART VERB NOUN ADP DET NOUN NOUN
.. or else’)to be ignored until ‘ out of the blue’ you lash out with harsh words or actions ( perhaps ) in order to release your mounting frustration and anger?	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the blue	figurative	dashes	PUNCT CCONJ PROPN VERB VERB ADP PUNCT ADP ADP DET NOUN PRON VERB PART ADP ADJ NOUN CCONJ NOUN PUNCT ADV PUNCT ADP NOUN PART VERB ADJ VERB NOUN CCONJ NOUN	▁ . . ▁or ▁else ’ ) to ▁be ▁ignored ▁until ▁ ‘ ▁out ▁of ▁the ▁blue ’ ▁you ▁ lash ▁out ▁with ▁harsh ▁words ▁or ▁actions ▁( ▁perhaps ▁ ) ▁in ▁order ▁to ▁release ▁your ▁mounting ▁frustration ▁and ▁anger ?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PUNCT CCONJ PROPN PROPN PROPN PROPN VERB VERB ADP PUNCT PUNCT ADP ADP DET NOUN NOUN PRON VERB VERB PART ADP ADJ NOUN CCONJ NOUN PUNCT ADV PUNCT PUNCT ADP NOUN PART VERB ADJ VERB NOUN CCONJ NOUN NOUN
‘ Well, it's a recognised symptom of the condition that an attack can come out of the blue.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	out of the blue	figurative	identical	PUNCT INTJ PRON DET VERB NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP ADP DET NOUN	▁ ‘ ▁Well , ▁it ' s ▁a ▁recognised ▁symptom ▁of ▁the ▁condition ▁that ▁an ▁attack ▁can ▁come ▁out ▁of ▁the ▁blue .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PUNCT PUNCT INTJ INTJ PRON PRON PRON DET VERB NOUN ADP DET NOUN ADP DET NOUN VERB VERB ADP ADP DET NOUN NOUN
Tell Alistair because erm, he 'll enjoy the joke because, Emelda came down to us you see, she arrived at lunch time, out of the blue to us	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	out of the blue	figurative	identical	VERB PROPN ADP NOUN PRON VERB VERB DET NOUN ADP PROPN VERB PART ADP PRON PRON VERB PRON VERB ADP NOUN NOUN ADP ADP DET NOUN ADP PRON	▁Tell ▁Al ist air ▁because ▁er m , ▁he ▁' ll ▁enjoy ▁the ▁joke ▁because , ▁E mel da ▁came ▁down ▁to ▁us ▁you ▁see , ▁she ▁arrived ▁at ▁lunch ▁time , ▁out ▁of ▁the ▁blue ▁to ▁us	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	VERB PROPN PROPN PROPN ADP NOUN NOUN NOUN PRON VERB VERB VERB DET NOUN ADP ADP PROPN PROPN PROPN VERB PART ADP PRON PRON VERB VERB PRON VERB ADP NOUN NOUN NOUN ADP ADP DET NOUN ADP PRON
And she said, she said to her mother last week she went up to see her and she said to me she said, out of the blue it come she said	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	out of the blue	figurative	identical	CCONJ PRON VERB PRON VERB ADP ADJ NOUN ADJ NOUN PRON VERB PART PART VERB PRON CCONJ PRON VERB ADP PRON PRON VERB ADP ADP DET NOUN PRON VERB PRON VERB	▁And ▁she ▁said , ▁she ▁said ▁to ▁her ▁mother ▁last ▁week ▁she ▁went ▁up ▁to ▁see ▁her ▁and ▁she ▁said ▁to ▁me ▁she ▁said , ▁out ▁of ▁the ▁blue ▁it ▁come ▁she ▁said	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	CCONJ PRON VERB VERB PRON VERB ADP ADJ NOUN ADJ NOUN PRON VERB PART PART VERB PRON CCONJ PRON VERB ADP PRON PRON VERB VERB ADP ADP DET NOUN PRON VERB PRON VERB
Then, out of the blue, a letter arrived in his cell.	0 1 1 0 1 0 0 0 0 0 0	out of the blue	figurative	identical	ADV ADP ADP DET ADJ DET NOUN VERB ADP ADJ NOUN	▁Then , ▁out ▁of ▁the ▁blue , ▁a ▁letter ▁arrived ▁in ▁his ▁cell .	0 0 1 1 0 1 1 0 0 0 0 0 0 0	ADV ADV ADP ADP DET ADJ ADJ DET NOUN VERB ADP ADJ NOUN NOUN
As the box - office grosses mounted, establishment Hollywood was beginning to talk in less insulting terms about him, and, one day out of the blue, he called Nicholson.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	out of the blue	figurative	identical	ADP DET NOUN PUNCT NOUN NOUN VERB NOUN PROPN VERB VERB PART VERB ADP ADV ADJ NOUN ADP PRON CCONJ NUM NOUN ADP ADP DET ADJ PRON VERB PROPN	▁As ▁the ▁box ▁- ▁office ▁gross es ▁mounted , ▁establishment ▁Hol ly wood ▁was ▁beginning ▁to ▁talk ▁in ▁less ▁insult ing ▁terms ▁about ▁him , ▁and , ▁one ▁day ▁out ▁of ▁the ▁blue , ▁he ▁called ▁Nichol son .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0	ADP DET NOUN PUNCT NOUN NOUN NOUN VERB VERB NOUN PROPN PROPN PROPN VERB VERB PART VERB ADP ADV ADJ ADJ NOUN ADP PRON PRON CCONJ CCONJ NUM NOUN ADP ADP DET ADJ ADJ PRON VERB PROPN PROPN PROPN
