Yet Filipinos themselves simply can not seem to imagine their leaders behind bars.	0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV PROPN PRON ADV VERB ADV VERB PART VERB ADJ NOUN ADP NOUN
Tony Marinello's speciality was to escape from behind the bar whilst Ivie was holding forth, and to ask any unescorted woman for a dance regardless of her age or her inclination.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PROPN PROPN NOUN VERB PART VERB ADP ADP DET NOUN ADP PROPN VERB VERB ADV CCONJ PART VERB DET ADJ NOUN ADP DET NOUN ADV ADP ADJ NOUN CCONJ ADJ NOUN
Almost 3,000 people have been shown what it's like behind bars.	0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	ADV NUM NOUN VERB VERB VERB NOUN PRON ADP ADP NOUN
The mascara, coupled with the face - gleamer, all running in a southerly direction gave me the interesting look of a woman behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	DET NOUN VERB ADP DET NOUN PUNCT NOUN DET VERB ADP DET ADJ NOUN VERB PRON DET ADJ NOUN ADP DET NOUN ADP NOUN
Two hours later, full of beer and bravado, Harry contemplated a reflection of himself in the mirror behind the bar of the Glue pot Inn and calculated that, even when sobriety had returned to drain away his courage, he would not change his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	NUM NOUN ADV ADJ ADP NOUN CCONJ NOUN PROPN VERB DET NOUN ADP PRON ADP DET NOUN ADP DET NOUN ADP DET PROPN NOUN PROPN CCONJ VERB ADP ADV ADV NOUN VERB VERB PART VERB ADV ADJ NOUN PRON VERB ADV VERB ADJ NOUN
Now Vernage is back behind bars and it will be at least 25 years before he comes out to scare anyone again.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADV PROPN VERB ADV ADP NOUN CCONJ PRON VERB VERB ADV ADV NUM NOUN ADP PRON VERB PART PART VERB NOUN ADV
The only lighting in there came from a neon strip behind the bar.	0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	DET ADJ NOUN ADV ADV VERB ADP DET NOUN NOUN ADP DET NOUN
Behind the bar you will find a huge range of interesting Spanish liqueurs and brandies and you will find a bottle of dry sherry chilling in the fridge.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP DET NOUN PRON VERB VERB DET ADJ NOUN ADP ADJ ADJ NOUN CCONJ NOUN CCONJ PRON VERB VERB DET NOUN ADP ADJ NOUN VERB ADP DET NOUN
The 20-year - old beauty consultant was released yesterday after five days behind bars for breaking an injunction banning her from pumping up the volume.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET NUM PUNCT ADJ NOUN NOUN VERB VERB NOUN ADP NUM NOUN ADP NOUN ADP VERB DET NOUN VERB PRON ADP VERB PART DET NOUN
' Present from Alan behind the bar, ' said Sarah, drawing out the glass she had been holding behind the frilly apron the waitresses at the Right and Wrong had to wear.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PUNCT ADJ ADP PROPN ADP DET NOUN PUNCT VERB PROPN VERB PART DET NOUN PRON VERB VERB VERB ADP DET ADV NOUN DET NOUN ADP DET ADJ CCONJ PROPN VERB PART VERB
A PRISONER on the run for 14 years was back behind bars yesterday — because he parked on double yellow lines.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET NOUN ADP DET NOUN ADP NUM NOUN VERB ADV ADP NOUN NOUN PUNCT ADP PRON VERB ADP ADJ ADJ NOUN
And familiar Edward Bear lay on her pillow and Victoria slept on her stomach in her cot six feet away, behind white painted bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	behind bars	literal	insertion-other	CCONJ ADJ PROPN PROPN VERB ADP ADJ NOUN CCONJ PROPN VERB ADP ADJ NOUN ADP ADJ NOUN NUM NOUN ADV ADP ADJ VERB NOUN
I need a visa and have failed to obtain one, Rosita likewise, and so they put us behind bars like prisoners.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	behind bars	figurative	identical	PRON VERB DET NOUN CCONJ VERB VERB PART VERB NUM PROPN ADV CCONJ ADV PRON VERB PRON ADP NOUN ADP NOUN
And youngsters normally er when, when they pass by, they will certainly say, at your back, something nasty and so er there is no way just have to an tolerate it unless, until we want to end up in, behind the bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	figurative	insertion-determiner	CCONJ NOUN ADV INTJ ADV ADV PRON VERB ADV PRON VERB ADV VERB ADP ADJ NOUN NOUN ADJ CCONJ ADV INTJ ADV VERB DET NOUN ADV VERB PART DET NOUN PRON ADP ADP PRON VERB PART VERB PART ADV ADP DET NOUN
Instead he took a curtain call, and at the last minute before he was to slide behind the curtains behind the bar, he reached for the flowers thrown to him earlier and broke off some of the roses, swaggering round the circle of admirers handing out the roses to the women.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADV PRON VERB DET NOUN NOUN CCONJ ADP DET ADJ NOUN ADP PRON VERB PART VERB ADP DET NOUN ADP DET NOUN PRON VERB ADP DET NOUN VERB ADP PRON ADV CCONJ VERB PART DET ADP DET NOUN VERB ADP DET NOUN ADP NOUN VERB PART DET NOUN ADP DET NOUN
They wanted the traffic kept moving, burglars and screwsmen put behind bars, footpads eliminated.	0 0 0 0 0 0 0 0 0 0 1 1 0 0	behind bars	figurative	identical	PRON VERB DET NOUN VERB VERB NOUN CCONJ NOUN VERB ADP NOUN NOUN VERB
A BRITON was behind bars in Florida yesterday after allegedly admitting that he preyed on women estate agents in a trail of crime across the USA.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET NOUN VERB ADP NOUN ADP PROPN NOUN ADP ADV VERB ADP PRON VERB ADP NOUN NOUN NOUN ADP DET NOUN ADP NOUN ADP DET PROPN
The judge, Mr Justice Humphrey Potts, said he would have put Casabona behind bars for two years but he had already served an equivalent term on remand.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET NOUN PROPN PROPN PROPN PROPN VERB PRON VERB VERB VERB PROPN ADP NOUN ADP NUM NOUN CCONJ PRON VERB ADV VERB DET ADJ NOUN ADP NOUN
A MOTHER is fighting to keep the man who killed her daughter behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	DET PROPN VERB VERB PART VERB DET NOUN NOUN VERB ADJ NOUN ADP NOUN
John, you didn't do that to that gentleman behind the bar did you, smashed his eyes?	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	behind bars	literal	combined-inflection	PROPN PRON VERB VERB DET ADP DET NOUN ADP DET NOUN VERB PRON VERB ADJ NOUN
I don't know why, I think it was that familiar feeling of being behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	PRON VERB VERB ADV PRON VERB PRON VERB ADV ADJ NOUN ADP VERB ADP NOUN
She walked behind the bar, got herself a drink and went and fucking sat and watched us!	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB ADP DET NOUN VERB PRON DET NOUN CCONJ VERB CCONJ VERB VERB CCONJ VERB PRON
And I thought if I go from behind this bar now I 'll never go back behind it now.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	CCONJ PRON VERB ADP PRON VERB ADP ADP DET NOUN ADV PRON VERB ADV VERB ADV ADP PRON ADV
Convicts back behind bars	0 0 1 1	behind bars	figurative	identical	NOUN ADV ADP NOUN
Cos in the afternoon she does catering from the pub and then the evening she just works behind the bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	NOUN ADP DET NOUN PRON VERB VERB ADP DET NOUN CCONJ ADV DET NOUN PRON ADV VERB ADP DET NOUN
From a practical standpoint we are suffering from some jail overcrowding problems here and certainly this was one option to take an offender who doesn't really belong behind iron bars and punish them at home, and from a personal standpoint I was sort of intrigued with the novelty of it all and the technology aspects of it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	insertion-other	ADP DET ADJ NOUN PRON VERB VERB ADP DET NOUN NOUN NOUN ADV CCONJ ADV DET VERB NUM NOUN PART VERB DET NOUN NOUN VERB ADV VERB ADP NOUN NOUN CCONJ VERB PRON ADP NOUN CCONJ ADP DET ADJ NOUN PRON VERB ADV ADV VERB ADP DET NOUN ADP PRON DET CCONJ DET NOUN NOUN ADP PRON
There int one behind the bar?	0 0 0 1 0 1	behind bars	literal	combined-inflection	ADV NOUN NUM ADP DET NOUN
I grabbed the empties and got back behind the bar.	0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PRON VERB DET NOUN CCONJ VERB ADV ADP DET NOUN
The fight against AIDS goes behind bars.	0 0 0 0 0 1 1	behind bars	figurative	identical	DET NOUN ADP PROPN VERB ADP NOUN
But it it's sods law that it will happen there isn't a lady there behind the bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	CCONJ PRON PRON NOUN NOUN ADP PRON VERB VERB ADV VERB DET NOUN ADV ADP DET NOUN
OFFENDERS WILL BE ASKED TO LEAVE ', goes the notice behind the bar.	0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	NOUN VERB VERB VERB PART VERB PUNCT VERB DET NOUN ADP DET NOUN
If you got, you know, if you got a character behind the bar could er attract people by his own force of personality.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP PRON VERB PRON VERB ADP PRON VERB DET NOUN ADP DET NOUN VERB INTJ VERB NOUN ADP ADJ ADJ NOUN ADP NOUN
And in areas where grease is not a factor such as traffic areas, behind the bar and so on, standard, non - grease formula mats may prove economically correct.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	CCONJ ADP NOUN ADV NOUN VERB ADV DET NOUN ADJ ADP NOUN NOUN ADP DET NOUN CCONJ ADV ADV ADJ ADJ PUNCT NOUN NOUN NOUN VERB VERB ADV ADJ
A STARK, uncertain future awaits the convicted paramilitary enemies who became lovers by letter behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	DET ADJ ADJ NOUN VERB DET VERB ADJ NOUN NOUN VERB NOUN ADP NOUN ADP NOUN
I asked the woman behind the bar and was told, ' Yes, remove it and I can serve you. '	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB DET NOUN ADP DET NOUN CCONJ VERB VERB PUNCT INTJ VERB PRON CCONJ PRON VERB VERB PRON PUNCT
Would New ~ York, Frankfurt, or even Paris receive a competitive boost as international bankers, alarmed at the prospect of time behind bars if their derivative trades blow up again, flee the City?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	VERB PROPN PUNCT PROPN PROPN CCONJ ADV PROPN VERB DET ADJ NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP NOUN ADP NOUN ADP ADJ ADJ NOUN VERB PART ADV VERB DET PROPN
him from behind the bar, saying : ' I never want	0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON ADP ADP DET NOUN VERB PUNCT PUNCT PRON ADV VERB
She had plaits, and I tied them together, on to th behind the bar, and he he caned me ..	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB NOUN CCONJ PRON VERB PRON ADV ADP ADP X ADP DET NOUN CCONJ PRON PRON VERB PRON PUNCT
My pulses were hammering in panic, as if I were really behind bars and spied an escape route that would close forever in a matter of seconds.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADJ NOUN VERB VERB ADP NOUN ADP ADP PRON VERB ADV ADP NOUN CCONJ VERB DET NOUN NOUN ADJ VERB VERB ADV ADP DET NOUN ADP NOUN
' Well, to the alleyway behind the bar.	0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	PUNCT INTJ ADP DET NOUN ADP DET NOUN
His smiles were mirthless, his eyes stared out from behind bars far stronger, far more treacherous, than the real bars and mesh of the Cages.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	identical	ADJ NOUN VERB NOUN ADJ NOUN VERB PART ADP ADP NOUN ADV ADJ ADV ADV ADJ ADP DET ADJ NOUN CCONJ NOUN ADP DET PROPN
‘ Where is he now?’ she asked, thinking he was possibly behind bars.	0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	PUNCT ADV VERB PRON INTJ PRON VERB VERB PRON VERB ADV ADP NOUN
Rincewind did so, and watched the nervous Broadman, who had arrived at a gallop from some back room, lead the way up the wooden steps behind the bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	NOUN VERB ADV CCONJ VERB DET ADJ PROPN NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN
JAIL MISERY : Tom Besly behind bars yesterday	0 0 0 0 0 1 1 0	behind bars	figurative	identical	PROPN NOUN PUNCT PROPN PROPN ADP NOUN NOUN
‘ Surely you 'd feel much safer with me locked behind bars?’	0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	dashes	PUNCT ADV PRON VERB VERB ADV ADJ ADP PRON VERB ADP NOUN
Who can be free in this country after the Treason Trials which set behind bars and left to rot … ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	behind bars	figurative	identical	NOUN VERB VERB ADJ ADP DET NOUN ADP DET PROPN PROPN ADJ VERB ADP NOUN CCONJ VERB PART VERB PUNCT PUNCT
Situated close to the S'Amfora, these lively and very attractive apartments are just behind the Britannia bar and restaurant and are some of the best appointed on the island.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	VERB ADV ADP DET PROPN DET ADJ CCONJ ADV ADJ NOUN VERB ADV ADP DET PROPN NOUN CCONJ NOUN CCONJ VERB DET ADP DET ADV VERB ADP DET NOUN
And behind bars … puppy is seized in rabies scare.	0 1 1 0 0 0 0 0 0 0	behind bars	figurative	identical	CCONJ ADP NOUN PUNCT NOUN VERB VERB ADP NOUN NOUN
She saw the bar, with its gleaming mahogany counter and polished brass fittings ; the enamel levers of the soda pumps, the array of ratafias and rosolio liqueurs behind the bar, and the new wooden chest, like a coffer with brass hasps in which the aluminium pails of pastel ices were kept in ice brought by dripping cart from the icehouse in the harbour at Dolmetta, where the fish were packed and then chipped off the block.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB DET NOUN ADP ADJ VERB NOUN NOUN CCONJ ADJ NOUN NOUN PUNCT DET ADJ NOUN ADP DET NOUN NOUN DET NOUN ADP NOUN CCONJ NOUN NOUN ADP DET NOUN CCONJ DET ADJ ADJ NOUN ADP DET NOUN ADP NOUN NOUN ADP ADJ DET NOUN NOUN ADP ADJ NOUN VERB VERB ADP NOUN VERB ADP VERB NOUN ADP DET NOUN ADP DET NOUN ADP PROPN ADV DET NOUN VERB VERB CCONJ ADV VERB PART DET NOUN
In one corner of the clubhouse a group of children were obviously waiting for someone, and behind the bar the steward polished glasses busily.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	behind bars	literal	combined-inflection	ADP NUM NOUN ADP DET NOUN DET NOUN ADP NOUN VERB ADV VERB ADP NOUN CCONJ ADP DET NOUN DET NOUN ADJ NOUN ADV
As the woman behind the bar began to pull the pints, he went on.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP DET NOUN ADP DET NOUN VERB PART VERB DET NOUN PRON VERB PART
Could you put those three behind the bar?	0 0 0 0 0 1 0 1	behind bars	literal	combined-inflection	VERB PRON VERB DET NUM ADP DET NOUN
Putting him behind bars won't serve any purpose, will it?	0 0 1 1 0 0 0 0 0 0	behind bars	figurative	identical	VERB PRON ADP NOUN VERB VERB DET NOUN VERB PRON
He told Black : ‘ I pronounce this sentence with regret, but the only way to stop you driving is to put you behind bars.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	dashes	PRON VERB PROPN PUNCT PUNCT PRON VERB DET NOUN ADP NOUN CCONJ DET ADJ NOUN PART VERB PRON VERB VERB PART VERB PRON ADP PROPN
And even if it hasn't, maybe Rohmer can see to it that you 'll spend the rest of your life behind bars along with Jimmy Devlin?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	behind bars	figurative	identical	CCONJ ADV ADP PRON VERB ADV PROPN VERB VERB ADP PRON ADP PRON VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN ADP ADP PROPN PROPN
Even Poland ’s communist newspapers, read behind bars, somehow conveyed news of the great changes taking place in our neighbor to the south.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	ADV PROPN PART ADJ NOUN VERB ADP NOUN ADV VERB NOUN ADP DET ADJ NOUN VERB NOUN ADP ADJ NOUN ADP DET NOUN
In each place a crowd of men in blue overalls, each with a Gauloise stuck in the corner of his mouth, stared into the mirror behind the bar at the reflection of any women who braved their domain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	behind bars	literal	combined-inflection	ADP DET NOUN DET NOUN ADP NOUN ADP ADJ NOUN DET ADP DET PROPN VERB ADP DET NOUN ADP ADJ NOUN VERB ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET NOUN NOUN VERB ADJ NOUN
A new regime behind bars The prison system in independent Latvia was in disarray so it called in a troubleshooter from Scotland to help.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET ADJ NOUN ADP NOUN DET NOUN NOUN ADP ADJ PROPN VERB ADP NOUN ADP PRON VERB ADP DET NOUN ADP PROPN PART VERB
The fifth decade of the German Democratic Republic had dawned with many hundreds of its citizens behind bars after the brutal suppression of demonstrations throughout the country which continued late into Saturday night.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	behind bars	figurative	identical	DET ADJ NOUN ADP DET PROPN PROPN PROPN VERB VERB ADP ADJ NOUN ADP ADJ NOUN ADP NOUN ADP DET ADJ NOUN ADP NOUN ADP DET NOUN ADJ VERB ADV ADP PROPN NOUN
The idea has had opponents who claim its an easy option for people who would otherwise be behind bars.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	behind bars	figurative	identical	DET NOUN VERB VERB NOUN NOUN VERB ADJ DET ADJ NOUN ADP NOUN NOUN VERB ADV VERB ADP NOUN
I knew Malpass would have had no more than a fleeting glimpse of them, but just to be sure, I went behind the bar and found an empty crisp box.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	behind bars	literal	combined-inflection	PRON VERB PROPN VERB VERB VERB DET ADJ ADP DET ADJ NOUN ADP PRON CCONJ ADV PART VERB ADJ PRON VERB ADP DET NOUN CCONJ VERB DET ADJ ADJ NOUN
' She's behind the bar there.	0 0 1 0 1 0	behind bars	literal	combined-inflection	PUNCT PRON ADP DET NOUN ADV
