Scraping rock bottom	0 1 1	rock bottom	figurative	identical	VERB NOUN NOUN	▁Sc rap ing ▁rock ▁bottom	0 0 0 1 1	VERB VERB VERB NOUN NOUN
On another high - scoring day, Dane Brian Laudrup scored two goals as Fiorentina destroyed rock - bottom Ancona 7 - 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	ADP DET ADJ PUNCT NOUN NOUN PROPN PROPN PROPN VERB NUM NOUN ADP PROPN VERB NOUN PUNCT NOUN PROPN NUM SYM NUM	▁On ▁another ▁high ▁- ▁scoring ▁day , ▁D ane ▁Brian ▁La ud rup ▁score d ▁two ▁goals ▁as ▁Fi or ent ina ▁destroyed ▁rock ▁- ▁bottom ▁ Ancona ▁7 ▁- ▁1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	ADP DET ADJ PUNCT NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN VERB VERB NUM NOUN ADP PROPN PROPN PROPN PROPN VERB NOUN PUNCT NOUN PROPN PROPN NUM SYM NUM
Halifax Building Society, the nation's biggest mortgage lender, and Bradford & Bingley are offering new buyers of repossessed homes a rock - bottom mortgage rate of 4.99 %.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	rock bottom	figurative	dashes	PROPN PROPN PROPN DET NOUN ADJ NOUN NOUN CCONJ PROPN CCONJ PROPN VERB VERB ADJ NOUN ADP ADJ NOUN DET NOUN PUNCT NOUN NOUN NOUN ADP NUM NOUN	▁H ali fax ▁Building ▁Society , ▁the ▁nation ' s ▁biggest ▁mortgage ▁lender , ▁and ▁B rad ford ▁& ▁B ing ley ▁are ▁offering ▁new ▁buyers ▁of ▁repo s ses s ed ▁homes ▁a ▁rock ▁- ▁bottom ▁mortgage ▁rate ▁of ▁4. 99 ▁% .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN ADJ NOUN NOUN NOUN CCONJ PROPN PROPN PROPN CCONJ PROPN PROPN PROPN VERB VERB ADJ NOUN ADP ADJ ADJ ADJ ADJ ADJ NOUN DET NOUN PUNCT NOUN NOUN NOUN ADP NUM NUM NOUN NOUN
Chris's crossing hits rock bottom	0 0 0 1 1	rock bottom	figurative	identical	PROPN NOUN VERB NOUN NOUN	▁Chr is ' s ▁crossing ▁hit s ▁rock ▁bottom	0 0 0 0 0 0 0 1 1	PROPN PROPN PROPN PROPN NOUN VERB VERB NOUN NOUN
To revive growth, others must be encouraged to spend – governments that can still borrow should run larger deficits, and rock - bottom interest rates should discourage thrifty households from saving.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	PART VERB NOUN NOUN VERB VERB VERB PART VERB PUNCT NOUN ADJ VERB ADV VERB VERB VERB ADJ NOUN CCONJ NOUN PUNCT NOUN NOUN NOUN VERB VERB ADJ NOUN ADP VERB	▁To ▁revive ▁growth , ▁others ▁must ▁be ▁encouraged ▁to ▁spend ▁ – ▁governments ▁that ▁can ▁still ▁borrow ▁should ▁run ▁larger ▁deficits , ▁and ▁rock ▁- ▁bottom ▁interest ▁rates ▁should ▁discourage ▁thr if ty ▁households ▁from ▁saving .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	PART VERB NOUN NOUN NOUN VERB VERB VERB PART VERB PUNCT PUNCT NOUN ADJ VERB ADV VERB VERB VERB ADJ NOUN NOUN CCONJ NOUN PUNCT NOUN NOUN NOUN VERB VERB ADJ ADJ ADJ NOUN ADP VERB VERB
With her spirits at rock bottom, Fabia got ready for bed.	0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	ADP ADJ NOUN ADP NOUN NOUN PROPN VERB ADJ ADP NOUN	▁With ▁her ▁spirits ▁at ▁rock ▁bottom , ▁Fa bia ▁got ▁ready ▁for ▁be d .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADP NOUN NOUN NOUN PROPN PROPN VERB ADJ ADP NOUN NOUN NOUN
Rock bottom : Ex - con strips off in protest at benefit refusal.	1 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	NOUN NOUN PUNCT PROPN PUNCT NOUN NOUN PART ADP NOUN ADP NOUN NOUN	▁Rock ▁bottom ▁ : ▁Ex ▁- ▁con ▁strips ▁off ▁in ▁protest ▁at ▁benefit ▁refusal .	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN PUNCT PUNCT PROPN PUNCT NOUN NOUN PART ADP NOUN ADP NOUN NOUN NOUN
At the beginning and end of the season when the resorts are quieter and more relaxed, we can offer special holidays at really rock - bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	ADP DET NOUN CCONJ NOUN ADP DET NOUN ADV DET NOUN VERB ADJ CCONJ ADV ADJ PRON VERB VERB ADJ NOUN ADP ADV NOUN PUNCT NOUN NOUN	▁At ▁the ▁beginning ▁and ▁end ▁of ▁the ▁season ▁when ▁the ▁resort s ▁are ▁quiet er ▁and ▁more ▁relaxed , ▁we ▁can ▁offer ▁special ▁holidays ▁at ▁really ▁rock ▁- ▁bottom ▁prices .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADP DET NOUN CCONJ NOUN ADP DET NOUN ADV DET NOUN NOUN VERB ADJ ADJ CCONJ ADV ADJ ADJ PRON VERB VERB ADJ NOUN ADP ADV NOUN PUNCT NOUN NOUN NOUN
Birmingham are rock bottom.	0 0 1 1	rock bottom	figurative	identical	PROPN VERB NOUN NOUN	▁Birmingham ▁are ▁rock ▁bottom .	0 0 1 1 1	PROPN VERB NOUN NOUN NOUN
Debate on Southcom's future, which has dragged on for years, was put on hold when American relations with General Noriega reached rock - bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	rock bottom	figurative	dashes	NOUN ADP PROPN NOUN ADJ VERB VERB PART ADP NOUN VERB VERB ADP NOUN ADV ADJ NOUN ADP PROPN PROPN VERB NOUN PUNCT NOUN	▁Debate ▁on ▁South com ' s ▁future , ▁which ▁has ▁dragg ed ▁on ▁for ▁years , ▁was ▁put ▁on ▁hold ▁when ▁American ▁relations ▁with ▁General ▁No ri ega ▁reached ▁rock ▁- ▁bottom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	NOUN ADP PROPN PROPN PROPN PROPN NOUN NOUN ADJ VERB VERB VERB PART ADP NOUN NOUN VERB VERB ADP NOUN ADV ADJ NOUN ADP PROPN PROPN PROPN PROPN VERB NOUN PUNCT NOUN NOUN
The bad form reached a giggling rock - bottom last year in Sri Lanka's Test match at Lord's when the difficulties of both pronunciation and identification proved insurmountable to most in the box.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	DET ADJ NOUN VERB DET VERB NOUN PUNCT NOUN ADJ NOUN ADP PROPN PROPN PROPN NOUN ADP PROPN ADV DET NOUN ADP DET NOUN CCONJ NOUN VERB ADJ ADP ADJ ADP DET NOUN	▁The ▁bad ▁form ▁reached ▁a ▁g ig g ling ▁rock ▁- ▁bottom ▁last ▁year ▁in ▁S ri ▁Lanka ' s ▁Test ▁match ▁at ▁Lord ' s ▁when ▁the ▁difficulties ▁of ▁both ▁pro n un ciation ▁and ▁identification ▁proved ▁insurmountable ▁to ▁most ▁in ▁the ▁box .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN VERB DET VERB VERB VERB VERB NOUN PUNCT NOUN ADJ NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN ADP PROPN PROPN PROPN ADV DET NOUN ADP DET NOUN NOUN NOUN NOUN CCONJ NOUN VERB ADJ ADP ADJ ADP DET NOUN NOUN
It will have to be for us at least twenty one days, that's the absolute rock bottom minimum I would have thought therefore the French I suspect have us over a barrel and we would have to cough up for the enormous expenditure of an extra building at Strasbourg which is not needed erm as I understand it er that er view I savoured I don't erm have the details of that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB VERB PART VERB ADP PRON ADV ADV NUM NUM NOUN DET DET ADJ NOUN ADJ NOUN PRON VERB VERB VERB ADV DET PROPN PRON VERB VERB PRON ADP DET NOUN CCONJ PRON VERB VERB PART VERB PART ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN ADJ VERB ADV VERB NOUN ADP PRON VERB PRON INTJ ADP INTJ NOUN PRON VERB PRON VERB ADV VERB DET NOUN ADP DET	▁It ▁will ▁have ▁to ▁be ▁for ▁us ▁at ▁least ▁twenty ▁one ▁days , ▁that ' s ▁the ▁absolute ▁rock ▁bottom ▁minimum ▁I ▁would ▁have ▁thought ▁therefore ▁the ▁French ▁I ▁suspect ▁have ▁us ▁over ▁a ▁barrel ▁and ▁we ▁would ▁have ▁to ▁cough ▁up ▁for ▁the ▁enormous ▁expenditure ▁of ▁an ▁extra ▁building ▁at ▁Strasbourg ▁which ▁is ▁not ▁needed ▁er m ▁as ▁I ▁understand ▁it ▁er ▁that ▁er ▁view ▁I ▁sa vour ed ▁I ▁don ' t ▁er m ▁have ▁the ▁details ▁of ▁that .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB ADP PRON ADV ADV NUM NUM NOUN NOUN DET DET DET DET ADJ NOUN ADJ NOUN PRON VERB VERB VERB ADV DET PROPN PRON VERB VERB PRON ADP DET NOUN CCONJ PRON VERB VERB PART VERB PART ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN ADJ VERB ADV VERB NOUN NOUN ADP PRON VERB PRON INTJ ADP INTJ NOUN PRON VERB VERB VERB PRON VERB VERB VERB ADV ADV VERB DET NOUN ADP DET DET
In May 1957, seven years after his wife Hannah had died of a heart attack, Hughie Gallacher hit rock bottom.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP PROPN NUM NUM NOUN ADP ADJ NOUN PROPN VERB VERB ADP DET NOUN NOUN PROPN PROPN VERB NOUN NOUN	▁In ▁May ▁1957 , ▁seven ▁years ▁after ▁his ▁wife ▁H anna h ▁had ▁died ▁of ▁a ▁heart ▁attack , ▁Hugh ie ▁Gall ach er ▁hit ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP PROPN NUM NUM NUM NOUN ADP ADJ NOUN PROPN PROPN PROPN VERB VERB ADP DET NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN NOUN
Rock bottom in the premier league are swindon town … the side Horton's new team beat on wednesday … still only one point but they 're still full of fighting talk at the County Ground …	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	case	NOUN NOUN ADP DET ADJ NOUN VERB ADJ NOUN PUNCT DET NOUN PROPN ADJ NOUN VERB ADP PROPN PUNCT ADV ADV NUM NOUN CCONJ PRON VERB ADV ADJ ADP VERB NOUN ADP DET PROPN PROPN PUNCT	▁Rock ▁bottom ▁in ▁the ▁pre m ier ▁league ▁are ▁s wind on ▁town ▁... ▁the ▁side ▁H or ton ' s ▁new ▁team ▁beat ▁on ▁we d nes day ▁... ▁still ▁only ▁one ▁point ▁but ▁they ▁' re ▁still ▁full ▁of ▁fighting ▁talk ▁at ▁the ▁County ▁Ground ▁...	1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADP DET ADJ ADJ ADJ NOUN VERB ADJ ADJ ADJ NOUN PUNCT DET NOUN PROPN PROPN PROPN PROPN PROPN ADJ NOUN VERB ADP PROPN PROPN PROPN PROPN PUNCT ADV ADV NUM NOUN CCONJ PRON VERB VERB ADV ADJ ADP VERB NOUN ADP DET PROPN PROPN PUNCT
That s why Bodins rating is nt rock bottom … hes Swindons pen taker ( so their highest scorer:- ) ).	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	DET VERB ADV PROPN NOUN VERB ADV NOUN NOUN PUNCT PRON NOUN NOUN NOUN PUNCT ADV ADJ ADJ NOUN PUNCT PUNCT	▁That ▁s ▁why ▁Bo din s ▁rating ▁is ▁ nt ▁rock ▁bottom ▁... ▁he s ▁S wind ons ▁pen ▁take r ▁( ▁so ▁their ▁highest ▁score r : - ▁ ) ▁ ).	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB ADV PROPN PROPN PROPN NOUN VERB ADV ADV NOUN NOUN PUNCT PRON PRON NOUN NOUN NOUN NOUN NOUN NOUN PUNCT ADV ADJ ADJ NOUN NOUN NOUN NOUN PUNCT PUNCT PUNCT PUNCT
At one time, British singers were, dare I say it, almost rock bottom.	0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	identical	ADP NUM NOUN ADJ NOUN VERB VERB PRON VERB PRON ADV NOUN NOUN	▁At ▁one ▁time , ▁British ▁sin gers ▁were , ▁dare ▁I ▁say ▁it , ▁almost ▁rock ▁bottom .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADP NUM NOUN NOUN ADJ NOUN NOUN VERB VERB VERB PRON VERB PRON PRON ADV NOUN NOUN NOUN
They must, they must be going for rock bottom prices at the moment there!	0 0 0 0 0 0 0 1 1 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB PRON VERB VERB VERB ADP NOUN NOUN NOUN ADP DET NOUN ADV	▁They ▁must , ▁they ▁must ▁be ▁going ▁for ▁rock ▁bottom ▁prices ▁at ▁the ▁moment ▁there !	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	PRON VERB VERB PRON VERB VERB VERB ADP NOUN NOUN NOUN ADP DET NOUN ADV ADV
Unlike the other rock - bottom Pilz discs, these do have adequate notes.	0 0 0 1 0 1 0 0 0 0 0 0 0	rock bottom	figurative	dashes	ADP DET ADJ NOUN PUNCT NOUN PROPN NOUN DET VERB VERB ADJ NOUN	▁Unlike ▁the ▁other ▁rock ▁- ▁bottom ▁P il z ▁discs , ▁these ▁do ▁have ▁adequate ▁notes .	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	ADP DET ADJ NOUN PUNCT NOUN PROPN PROPN PROPN NOUN NOUN DET VERB VERB ADJ NOUN NOUN
Some cuts involved not filling posts left vacant by teachers discouraged by the rock - bottom pay and difficult conditions.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	DET NOUN VERB ADV VERB NOUN VERB ADJ ADP NOUN VERB ADP DET NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN	▁Some ▁cuts ▁involved ▁not ▁filling ▁posts ▁left ▁vacant ▁by ▁teachers ▁discouraged ▁by ▁the ▁rock ▁- ▁bottom ▁pay ▁and ▁difficult ▁conditions .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	DET NOUN VERB ADV VERB NOUN VERB ADJ ADP NOUN VERB ADP DET NOUN PUNCT NOUN NOUN CCONJ ADJ NOUN NOUN
Central South teams hit rock bottom.	0 0 0 0 1 1	rock bottom	figurative	identical	PROPN PROPN NOUN VERB NOUN NOUN	▁Central ▁South ▁teams ▁hit ▁rock ▁bottom .	0 0 0 0 1 1 1	PROPN PROPN NOUN VERB NOUN NOUN NOUN
As government debt has ballooned and policy interest rates have hit rock bottom, central banks have focused on increasingly innovative policy to boost demand.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	ADP NOUN NOUN VERB VERB CCONJ NOUN NOUN NOUN VERB VERB NOUN NOUN ADJ NOUN VERB VERB ADP ADV ADJ NOUN PART VERB NOUN	▁As ▁government ▁debt ▁has ▁balloon ed ▁and ▁policy ▁interest ▁rates ▁have ▁hit ▁rock ▁bottom , ▁central ▁banks ▁have ▁focused ▁on ▁increasingly ▁innovative ▁policy ▁to ▁boost ▁demand .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN VERB VERB VERB CCONJ NOUN NOUN NOUN VERB VERB NOUN NOUN NOUN ADJ NOUN VERB VERB ADP ADV ADJ NOUN PART VERB NOUN NOUN
I reached rock bottom, which I always said would never happen …	0 0 1 1 0 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB NOUN NOUN ADJ PRON ADV VERB VERB ADV VERB PUNCT	▁I ▁reached ▁rock ▁bottom , ▁which ▁I ▁always ▁said ▁would ▁never ▁happen ▁...	0 0 1 1 1 0 0 0 0 0 0 0 0	PRON VERB NOUN NOUN NOUN ADJ PRON ADV VERB VERB ADV VERB PUNCT
They 're at rock bottom prices, and the only way is up.	0 0 0 1 1 0 0 0 0 0 0 0	rock bottom	figurative	identical	PRON VERB ADP NOUN NOUN NOUN CCONJ DET ADJ NOUN VERB ADV	▁They ▁' re ▁at ▁rock ▁bottom ▁prices , ▁and ▁the ▁only ▁way ▁is ▁up .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADP NOUN NOUN NOUN NOUN CCONJ DET ADJ NOUN VERB ADV ADV
After all, at the most basic level, Ireland should be a superb base for establishing a rock - bottom high volume personal computer manufacturing business that could knock spots off Tulip Computers NV with its lower costs and be challenging Elonex Plc and the tartan Americans led by Compaq Computer Corp and IBM Corp, not to mention Ireland's own foster - sons Dell Computer Corp in Limerick, and Apple Computer Inc in Cork.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	ADV ADV ADP DET ADV ADJ NOUN PROPN VERB VERB DET ADJ NOUN ADP VERB DET NOUN PUNCT NOUN ADJ NOUN ADJ NOUN NOUN NOUN ADJ VERB VERB NOUN PART PROPN NOUN PROPN ADP ADJ ADJ NOUN CCONJ VERB VERB PROPN PROPN CCONJ DET NOUN PROPN VERB ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADV PART VERB PROPN ADJ ADJ PUNCT NOUN PROPN PROPN PROPN ADP PROPN CCONJ PROPN PROPN PROPN ADP PROPN	▁After ▁all , ▁at ▁the ▁most ▁basic ▁level , ▁Ireland ▁should ▁be ▁a ▁super b ▁base ▁for ▁establishing ▁a ▁rock ▁- ▁bottom ▁high ▁volume ▁personal ▁computer ▁manufacturing ▁business ▁that ▁could ▁knock ▁spots ▁off ▁Tu lip ▁Computer s ▁NV ▁with ▁its ▁lower ▁costs ▁and ▁be ▁challenging ▁E lon ex ▁P lc ▁and ▁the ▁tar tan ▁Americans ▁led ▁by ▁Comp aq ▁Computer ▁Corp ▁and ▁IBM ▁Corp , ▁not ▁to ▁mention ▁Ireland ' s ▁own ▁foster ▁- ▁sons ▁Dell ▁Computer ▁Corp ▁in ▁L ime rick , ▁and ▁Apple ▁Computer ▁Inc ▁in ▁Cork .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV ADP DET ADV ADJ NOUN NOUN PROPN VERB VERB DET ADJ ADJ NOUN ADP VERB DET NOUN PUNCT NOUN ADJ NOUN ADJ NOUN NOUN NOUN ADJ VERB VERB NOUN PART PROPN PROPN NOUN NOUN PROPN ADP ADJ ADJ NOUN CCONJ VERB VERB PROPN PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN PROPN VERB ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADV PART VERB PROPN PROPN PROPN ADJ ADJ PUNCT NOUN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN ADP PROPN PROPN
If you take advantage of the sales you 'll be able to save at least 20p in the £ on goods which are already at rock - bottom prices.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	ADP PRON VERB NOUN ADP DET NOUN PRON VERB VERB ADJ PART VERB ADV ADJ NUM ADP DET SYM ADP NOUN ADJ VERB ADV ADP NOUN PUNCT NOUN NOUN	▁If ▁you ▁take ▁advantage ▁of ▁the ▁sales ▁you ▁' ll ▁be ▁able ▁to ▁save ▁at ▁least ▁20 p ▁in ▁the ▁£ ▁on ▁goods ▁which ▁are ▁already ▁at ▁rock ▁- ▁bottom ▁prices .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	ADP PRON VERB NOUN ADP DET NOUN PRON VERB VERB VERB ADJ PART VERB ADV ADJ NUM NUM ADP DET SYM ADP NOUN ADJ VERB ADV ADP NOUN PUNCT NOUN NOUN NOUN
‘ We have the best sailing and the best facilities for boat owners, with prices of waterfront homes here at rock bottom.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	rock bottom	figurative	dashes	PUNCT PRON VERB DET ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN ADP NOUN ADP ADJ NOUN ADV ADP NOUN NOUN	▁ ‘ ▁We ▁have ▁the ▁best ▁sailing ▁and ▁the ▁best ▁facilities ▁for ▁boat ▁owners , ▁with ▁prices ▁of ▁water front ▁homes ▁here ▁at ▁rock ▁bottom . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PUNCT PUNCT PRON VERB DET ADJ NOUN CCONJ DET ADJ NOUN ADP NOUN NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN ADV ADP NOUN NOUN NOUN NOUN
Served up as B fodder, at least it provided him with a salary, albeit on rock - bottom union rates of around $ 300 for a full working week, which assured him a place barely above the poverty line.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	rock bottom	figurative	dashes	VERB PART ADP NOUN NOUN ADP ADJ PRON VERB PRON ADP DET NOUN ADP ADP NOUN PUNCT NOUN NOUN NOUN ADP ADV SYM NUM ADP DET ADJ NOUN NOUN ADJ VERB PRON DET NOUN ADV ADP DET NOUN NOUN	▁Serv ed ▁up ▁as ▁B ▁fodder , ▁at ▁least ▁it ▁provided ▁him ▁with ▁a ▁salary , ▁al beit ▁on ▁rock ▁- ▁bottom ▁union ▁rates ▁of ▁around ▁$ ▁300 ▁for ▁a ▁full ▁working ▁week , ▁which ▁assured ▁him ▁a ▁place ▁barely ▁above ▁the ▁poverty ▁line .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB PART ADP NOUN NOUN NOUN ADP ADJ PRON VERB PRON ADP DET NOUN NOUN ADP ADP ADP NOUN PUNCT NOUN NOUN NOUN ADP ADV SYM NUM ADP DET ADJ NOUN NOUN NOUN ADJ VERB PRON DET NOUN ADV ADP DET NOUN NOUN NOUN
Yet again, a piece of the family silver is being sold off at rock - bottom price, at great —	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	rock bottom	figurative	dashes	ADV ADV DET NOUN ADP DET NOUN NOUN VERB VERB VERB PART ADP NOUN PUNCT NOUN NOUN ADP ADJ PUNCT	▁Yet ▁again , ▁a ▁piece ▁of ▁the ▁family ▁silver ▁is ▁being ▁sold ▁off ▁at ▁rock ▁- ▁bottom ▁price , ▁at ▁great ▁ —	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADV ADV ADV DET NOUN ADP DET NOUN NOUN VERB VERB VERB PART ADP NOUN PUNCT NOUN NOUN NOUN ADP ADJ PUNCT PUNCT
The Piper debts were paid in full, even although a severe fall in land values at the time caused his properties and other holdings to be sold for rock - bottom sums.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0	rock bottom	figurative	dashes	DET PROPN NOUN VERB VERB ADP ADJ ADV ADP DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB ADJ NOUN CCONJ ADJ NOUN PART VERB VERB ADP NOUN PUNCT NOUN NOUN	▁The ▁Pipe r ▁debts ▁were ▁paid ▁in ▁full , ▁even ▁although ▁a ▁severe ▁fall ▁in ▁land ▁values ▁at ▁the ▁time ▁caused ▁his ▁properties ▁and ▁other ▁holdings ▁to ▁be ▁sold ▁for ▁rock ▁- ▁bottom ▁sums .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	DET PROPN PROPN NOUN VERB VERB ADP ADJ ADJ ADV ADP DET ADJ NOUN ADP NOUN NOUN ADP DET NOUN VERB ADJ NOUN CCONJ ADJ NOUN PART VERB VERB ADP NOUN PUNCT NOUN NOUN NOUN
