As Crilly is taken back into the cells, he catches my eyes.	0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	ADP PROPN VERB VERB ADV ADP DET NOUN PRON VERB ADJ NOUN	▁As ▁Cr illy ▁is ▁taken ▁back ▁into ▁the ▁cells , ▁he ▁catches ▁my ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADP PROPN PROPN VERB VERB ADV ADP DET NOUN NOUN PRON VERB ADJ NOUN NOUN
It was a useful means, anyway, of catching her eye.	0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB DET ADJ NOUN ADV ADP VERB ADJ NOUN	▁It ▁was ▁a ▁useful ▁means , ▁anyway , ▁of ▁catching ▁her ▁eye .	0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB DET ADJ NOUN NOUN ADV ADV ADP VERB ADJ NOUN NOUN
Ellen caught my eye, looked down at the ridiculous leaflet, and suddenly we both began to laugh helplessly.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN VERB PART ADP DET ADJ NOUN CCONJ ADV PRON DET VERB PART VERB ADV	▁Elle n ▁caught ▁my ▁eye , ▁looked ▁down ▁at ▁the ▁ridiculous ▁leaflet , ▁and ▁suddenly ▁we ▁both ▁began ▁to ▁laugh ▁help lessly .	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADJ NOUN NOUN VERB PART ADP DET ADJ NOUN NOUN CCONJ ADV PRON DET VERB PART VERB ADV ADV ADV
Age : 25 Fave Labels : Everything and anything that catches her eye.	0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN PUNCT NUM PROPN PROPN PUNCT NOUN CCONJ NOUN ADJ VERB ADJ NOUN	▁Age ▁ : ▁25 ▁F ave ▁Label s ▁ : ▁Everything ▁and ▁anything ▁that ▁catches ▁her ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN PUNCT PUNCT NUM PROPN PROPN PROPN PROPN PUNCT PUNCT NOUN CCONJ NOUN ADJ VERB ADJ NOUN NOUN
The Marines were staring morosely out to sea, when a glimmer of unusual movement caught their eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	DET PROPN VERB VERB ADV ADP ADP NOUN ADV DET NOUN ADP ADJ NOUN VERB ADJ NOUN	▁The ▁Marine s ▁were ▁star ing ▁mor ose ly ▁out ▁to ▁sea , ▁when ▁a ▁glim mer ▁of ▁unusual ▁movement ▁caught ▁their ▁eyes .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET PROPN PROPN VERB VERB VERB ADV ADV ADV ADP ADP NOUN NOUN ADV DET NOUN NOUN ADP ADJ NOUN VERB ADJ NOUN NOUN
Then he caught Epitot's eye, and realized that he knew it too.	0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	literal	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ VERB ADP PRON VERB PRON ADV	▁Then ▁he ▁caught ▁Epi to t ' s ▁eye , ▁and ▁realized ▁that ▁he ▁knew ▁it ▁too .	0 0 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0	ADV PRON VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN CCONJ VERB ADP PRON VERB PRON ADV ADV
They smiled as they caught his eye.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB ADP PRON VERB ADJ NOUN	▁They ▁smile d ▁as ▁they ▁caught ▁his ▁eye .	0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP PRON VERB ADJ NOUN NOUN
I suggested putting an old lady sitting on a bench with a lace shawl erm er sculpture of so that it represents er Nottingham lace and etcetera and I said it would look more attractive and catch people's eye than what's there at the present.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-other	PRON VERB VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB ADV INTJ NOUN ADP ADP ADP PRON VERB INTJ PROPN NOUN CCONJ NOUN CCONJ PRON VERB PRON VERB VERB ADV ADJ CCONJ VERB NOUN NOUN ADP NOUN ADV ADP DET NOUN	▁I ▁suggested ▁putting ▁an ▁old ▁lady ▁sitting ▁on ▁a ▁bench ▁with ▁a ▁lace ▁sha wl ▁er m ▁er ▁scu lp ture ▁of ▁so ▁that ▁it ▁represents ▁er ▁Not ting ham ▁lace ▁and ▁etc eter a ▁and ▁I ▁said ▁it ▁would ▁look ▁more ▁attractive ▁and ▁catch ▁people ' s ▁eye ▁than ▁what ' s ▁there ▁at ▁the ▁present .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB DET ADJ NOUN VERB ADP DET NOUN ADP DET NOUN VERB VERB ADV ADV INTJ NOUN NOUN NOUN ADP ADP ADP PRON VERB INTJ PROPN PROPN PROPN NOUN CCONJ NOUN NOUN NOUN CCONJ PRON VERB PRON VERB VERB ADV ADJ CCONJ VERB NOUN NOUN NOUN NOUN ADP NOUN NOUN NOUN ADV ADP DET NOUN NOUN
A little further on a surprisingly clean rag doll caught her eye, which she recognized.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0	catch someone's eye	figurative	combined-inflection	DET ADJ ADV ADP DET ADV ADJ NOUN NOUN VERB ADJ NOUN ADJ PRON VERB	▁A ▁little ▁further ▁on ▁a ▁surprising ly ▁clean ▁ rag ▁do ll ▁caught ▁her ▁eye , ▁which ▁she ▁recognized .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	DET ADJ ADV ADP DET ADV ADV ADJ NOUN NOUN NOUN NOUN VERB ADJ NOUN NOUN ADJ PRON VERB VERB
well it could be as many as that I mean sit and count it, but there's a lot of variation, there's a lot to catch your eye, I mean the more things contrast with each other, the more you notice them, isn't that true.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	possessive	INTJ PRON VERB VERB ADV ADJ ADP ADP PRON VERB VERB CCONJ VERB PRON CCONJ ADV DET NOUN ADP NOUN ADV DET NOUN PART VERB ADJ NOUN PRON VERB DET ADJ NOUN VERB ADP DET ADJ DET ADV PRON VERB PRON VERB ADV ADJ	▁well ▁it ▁could ▁be ▁as ▁many ▁as ▁that ▁I ▁mean ▁sit ▁and ▁count ▁it , ▁but ▁there ' s ▁a ▁lot ▁of ▁variation , ▁there ' s ▁a ▁lot ▁to ▁catch ▁your ▁eye , ▁I ▁mean ▁the ▁more ▁things ▁contrast ▁with ▁each ▁other , ▁the ▁more ▁you ▁notice ▁them , ▁is n ' t ▁that ▁true .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ PRON VERB VERB ADV ADJ ADP ADP PRON VERB VERB CCONJ VERB PRON PRON CCONJ ADV ADV ADV DET NOUN ADP NOUN NOUN ADV ADV ADV DET NOUN PART VERB ADJ NOUN NOUN PRON VERB DET ADJ NOUN VERB ADP DET ADJ ADJ DET ADV PRON VERB PRON PRON VERB VERB VERB VERB ADV ADJ ADJ
She caught Lee's eye and Lee felt an electric shock pass through her.	0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN CCONJ PROPN VERB DET ADJ NOUN VERB ADP PRON	▁She ▁caught ▁Le e ' s ▁eye ▁and ▁Le e ▁felt ▁an ▁electric ▁shock ▁pass ▁through ▁her .	0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PROPN PROPN PROPN PROPN NOUN CCONJ PROPN PROPN VERB DET ADJ NOUN VERB ADP PRON PRON
ROS:(A flat lie and he knows it and shows it, perhaps catching GUIL's eye ) Niggard of question, but of our demands most free in his reply.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	VERB ADJ NOUN CCONJ PRON VERB PRON CCONJ VERB PRON ADV VERB PROPN NOUN PUNCT PROPN ADP NOUN CCONJ ADP ADJ NOUN ADV ADJ ADP ADJ NOUN	▁RO S : ( A ▁flat ▁lie ▁and ▁he ▁knows ▁it ▁and ▁shows ▁it , ▁perhaps ▁catching ▁GU IL ' s ▁eye ▁ ) ▁N ig gard ▁of ▁question , ▁but ▁of ▁our ▁demands ▁most ▁free ▁in ▁his ▁reply .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB VERB ADJ NOUN CCONJ PRON VERB PRON CCONJ VERB PRON PRON ADV VERB PROPN PROPN PROPN PROPN NOUN PUNCT PUNCT PROPN PROPN PROPN ADP NOUN NOUN CCONJ ADP ADJ NOUN ADV ADJ ADP ADJ NOUN NOUN
He caught Sandor's eye.	0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN	▁He ▁caught ▁Sand or ' s ▁eye .	0 1 1 1 1 1 1 1	PRON VERB PROPN PROPN PROPN PROPN NOUN NOUN
They her eye was caught by a faded and peeling board.	0 1 1 0 1 0 0 0 0 0 0	catch someone's eye	figurative	misc	PRON ADJ NOUN VERB VERB ADP DET VERB CCONJ VERB NOUN	▁They ▁her ▁eye ▁was ▁caught ▁by ▁a ▁fa d ed ▁and ▁peel ing ▁board .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	PRON ADJ NOUN VERB VERB ADP DET VERB VERB VERB CCONJ VERB VERB NOUN NOUN
But Cuthbert catches his eye and grins : ‘ Well … stay.’	0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ PROPN VERB ADJ NOUN CCONJ NOUN PUNCT PUNCT INTJ PUNCT NOUN	▁But ▁C uth bert ▁catches ▁his ▁eye ▁and ▁gr ins ▁ : ▁ ‘ ▁Well ▁... ▁stay . ’	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PROPN PROPN PROPN VERB ADJ NOUN CCONJ NOUN NOUN PUNCT PUNCT PUNCT PUNCT INTJ PUNCT NOUN NOUN NOUN
For this reason my eye was caught one day by a small box - ad at the bottom of the column :	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	misc	ADP DET NOUN ADJ NOUN VERB VERB NUM NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN PUNCT	▁For ▁this ▁reason ▁my ▁eye ▁was ▁caught ▁one ▁day ▁by ▁a ▁small ▁box ▁- ▁ad ▁at ▁the ▁bottom ▁of ▁the ▁column ▁ :	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN ADJ NOUN VERB VERB NUM NOUN ADP DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP DET NOUN PUNCT PUNCT
She was lowering herself from the tip - toe that she needed to look over the panelled backing of the window display when something else caught her eye, further down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB VERB PRON ADP DET NOUN PUNCT NOUN ADJ PRON VERB PART VERB ADP DET VERB NOUN ADP DET NOUN NOUN ADV NOUN ADV VERB ADJ NOUN ADV ADP DET NOUN	▁She ▁was ▁lowering ▁herself ▁from ▁the ▁tip ▁- ▁to e ▁that ▁she ▁needed ▁to ▁look ▁over ▁the ▁panel led ▁backing ▁of ▁the ▁window ▁display ▁when ▁something ▁else ▁caught ▁her ▁eye , ▁further ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0	PRON VERB VERB PRON ADP DET NOUN PUNCT NOUN NOUN ADJ PRON VERB PART VERB ADP DET VERB VERB NOUN ADP DET NOUN NOUN ADV NOUN ADV VERB ADJ NOUN NOUN ADV ADP DET NOUN NOUN
But now one of them catches my eye because I recognize the handwriting.	0 0 0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADV NUM ADP PRON VERB ADJ NOUN ADP PRON VERB DET NOUN	▁But ▁now ▁one ▁of ▁them ▁catches ▁my ▁eye ▁because ▁I ▁recognize ▁the ▁hand writing .	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	CCONJ ADV NUM ADP PRON VERB ADJ NOUN ADP PRON VERB DET NOUN NOUN NOUN
But really it was the buzzards and the kestrels circling overhead that caught my eye as we made our way down the coastal path.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADV PRON VERB DET NOUN CCONJ DET NOUN VERB ADV ADJ VERB ADJ NOUN ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN	▁But ▁really ▁it ▁was ▁the ▁bu zz ards ▁and ▁the ▁k est rel s ▁ circ ling ▁overhead ▁that ▁caught ▁my ▁eye ▁as ▁we ▁made ▁our ▁way ▁down ▁the ▁coastal ▁path .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	CCONJ ADV PRON VERB DET NOUN NOUN NOUN CCONJ DET NOUN NOUN NOUN NOUN VERB VERB VERB ADV ADJ VERB ADJ NOUN ADP PRON VERB ADJ NOUN ADP DET ADJ NOUN NOUN
Jo caught her mother's eye and saw that she, too, was amused by her father's instant expertise in their business.	0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PROPN VERB ADJ NOUN NOUN CCONJ VERB ADP PRON ADV VERB VERB ADP ADJ NOUN ADJ NOUN ADP ADJ NOUN	▁Jo ▁caught ▁her ▁mother ' s ▁eye ▁and ▁saw ▁that ▁she , ▁too , ▁was ▁am used ▁by ▁her ▁father ' s ▁instant ▁expertise ▁in ▁their ▁business .	0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB ADJ NOUN NOUN NOUN NOUN CCONJ VERB ADP PRON PRON ADV ADV VERB VERB VERB ADP ADJ NOUN NOUN NOUN ADJ NOUN ADP ADJ NOUN NOUN
Unfortunately —’ he caught Owen's eye meaningfully —‘they can not answer for others.’	0 0 0 1 1 1 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV ADV PRON VERB PROPN NOUN ADV PRON VERB ADV VERB ADP X	▁Unfortunately ▁ —’ ▁he ▁caught ▁O wen ' s ▁eye ▁meaningful ly ▁ —‘ they ▁can ▁not ▁answer ▁for ▁others . ’	0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV PRON VERB PROPN PROPN PROPN PROPN NOUN ADV ADV PRON PRON PRON VERB ADV VERB ADP X X X
Erm being that I, one of the bits which I think catches your eye is this little house here, although there's lots of them about, because this one tends to be in a slightly darker area, and for some reason that, the light on there is sort of picking that one out rather more than all the others, and I think that's quite a nice little feature.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	NOUN VERB ADP PRON NUM ADP DET NOUN ADJ PRON VERB VERB ADJ NOUN VERB DET ADJ NOUN ADV ADP ADV NOUN ADP PRON ADP ADP DET NOUN VERB PART VERB ADP DET ADV ADJ NOUN CCONJ ADP DET NOUN ADP DET NOUN ADP ADV VERB ADV ADV VERB ADP NUM ADP ADV ADJ ADP ADJ DET NOUN CCONJ PRON VERB DET ADJ DET ADJ ADJ NOUN	▁E rm ▁being ▁that ▁I , ▁one ▁of ▁the ▁bit s ▁which ▁I ▁think ▁catches ▁your ▁eye ▁is ▁this ▁little ▁house ▁here , ▁although ▁there ' s ▁lots ▁of ▁them ▁about , ▁because ▁this ▁one ▁tend s ▁to ▁be ▁in ▁a ▁slightly ▁dark er ▁area , ▁and ▁for ▁some ▁reason ▁that , ▁the ▁light ▁on ▁there ▁is ▁sort ▁of ▁pick ing ▁that ▁one ▁out ▁rather ▁more ▁than ▁all ▁the ▁others , ▁and ▁I ▁think ▁that ' s ▁quite ▁a ▁nice ▁little ▁feature .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADP PRON PRON NUM ADP DET NOUN NOUN ADJ PRON VERB VERB ADJ NOUN VERB DET ADJ NOUN ADV ADV ADP ADV ADV ADV NOUN ADP PRON ADP ADP ADP DET NOUN VERB VERB PART VERB ADP DET ADV ADJ ADJ NOUN NOUN CCONJ ADP DET NOUN ADP ADP DET NOUN ADP ADV VERB ADV ADV VERB VERB ADP NUM ADP ADV ADJ ADP ADJ DET NOUN NOUN CCONJ PRON VERB DET DET DET ADJ DET ADJ ADJ NOUN NOUN
He caught Carol's eye, and winked.	0 1 1 1 0 0	catch someone's eye	figurative	combined-inflection	PRON VERB PROPN NOUN CCONJ VERB	▁He ▁caught ▁Car ol ' s ▁eye , ▁and ▁win ked .	0 1 1 1 1 1 1 1 0 0 0 0	PRON VERB PROPN PROPN PROPN PROPN NOUN NOUN CCONJ VERB VERB VERB
They were standing in the kitchen loading the dishwasher and putting the salads in the fridge when a picture caught her eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB VERB ADP DET NOUN VERB DET NOUN CCONJ VERB DET NOUN ADP DET NOUN ADV DET NOUN VERB ADJ NOUN	▁They ▁were ▁standing ▁in ▁the ▁kitchen ▁loading ▁the ▁dishwasher ▁and ▁putting ▁the ▁salad s ▁in ▁the ▁f rid ge ▁when ▁a ▁picture ▁caught ▁her ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB ADP DET NOUN VERB DET NOUN CCONJ VERB DET NOUN NOUN ADP DET NOUN NOUN NOUN ADV DET NOUN VERB ADJ NOUN NOUN
Ah well, ' he continued unhappily, having caught his wife's eye, ' least said soonest mended, I dare say. '	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	INTJ INTJ PUNCT PRON VERB ADV VERB VERB ADJ NOUN NOUN PUNCT ADJ VERB ADV ADJ PRON VERB VERB PUNCT	▁A h ▁well , ▁' ▁he ▁continued ▁un h app ily , ▁having ▁caught ▁his ▁wife ' s ▁eye , ▁' ▁least ▁said ▁soon est ▁ mended , ▁I ▁dare ▁say . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ INTJ PUNCT PRON VERB ADV ADV ADV ADV ADV VERB VERB ADJ NOUN NOUN NOUN NOUN NOUN PUNCT ADJ VERB ADV ADV ADJ ADJ ADJ PRON VERB VERB VERB PUNCT
Then she caught Chris's eyes, and yes, it was, after all.	0 0 1 1 1 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADV PRON VERB PROPN NOUN CCONJ INTJ PRON VERB ADV ADV	▁Then ▁she ▁caught ▁Chr is ' s ▁eyes , ▁and ▁yes , ▁it ▁was , ▁after ▁all .	0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0	ADV PRON VERB PROPN PROPN PROPN PROPN NOUN NOUN CCONJ INTJ INTJ PRON VERB VERB ADV ADV ADV
Something else caught his eye.	0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN ADV VERB ADJ NOUN	▁S omething ▁else ▁caught ▁his ▁eye .	0 0 0 1 1 1 1	NOUN NOUN ADV VERB ADJ NOUN NOUN
On his way back to his office, Patterson caught my eye and without breaking his stride, he tapped his wristwatch ( I put odds on a Rolex ) and held up five fingers.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	ADP ADJ NOUN ADV ADP ADJ NOUN PROPN VERB ADJ NOUN CCONJ ADP VERB ADJ NOUN PRON VERB ADJ NOUN PUNCT PRON VERB NOUN ADP DET PROPN PUNCT CCONJ VERB PART NUM NOUN	▁On ▁his ▁way ▁back ▁to ▁his ▁office , ▁Patt erson ▁caught ▁my ▁eye ▁and ▁without ▁breaking ▁his ▁str ide , ▁he ▁ta pped ▁his ▁wrist wa tch ▁( ▁I ▁put ▁odd s ▁on ▁a ▁Role x ▁ ) ▁and ▁held ▁up ▁five ▁fingers .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ NOUN ADV ADP ADJ NOUN NOUN PROPN PROPN VERB ADJ NOUN CCONJ ADP VERB ADJ NOUN NOUN NOUN PRON VERB VERB ADJ NOUN NOUN NOUN PUNCT PRON VERB NOUN NOUN ADP DET PROPN PROPN PUNCT PUNCT CCONJ VERB PART NUM NOUN NOUN
But direct observation does give you the colours and you do become more accurate, even though sunlight and shadows move so fast during the time it takes to paint such a scene that the particular arrangement that caught your eye in the first place has long since gone by the time the picture is finished!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	CCONJ ADJ NOUN VERB VERB PRON DET NOUN CCONJ PRON VERB VERB ADV ADJ ADV ADP NOUN CCONJ NOUN VERB ADV ADV ADP DET NOUN PRON VERB PART VERB ADJ DET NOUN ADJ DET ADJ NOUN ADJ VERB ADJ NOUN ADP DET ADJ NOUN VERB ADV ADV VERB ADP DET NOUN DET NOUN VERB VERB	▁But ▁direct ▁observation ▁does ▁give ▁you ▁the ▁colours ▁and ▁you ▁do ▁become ▁more ▁accurate , ▁even ▁though ▁sunlight ▁and ▁shadow s ▁move ▁so ▁fast ▁during ▁the ▁time ▁it ▁takes ▁to ▁paint ▁such ▁a ▁scene ▁that ▁the ▁particular ▁arrangement ▁that ▁caught ▁your ▁eye ▁in ▁the ▁first ▁place ▁has ▁long ▁since ▁gone ▁by ▁the ▁time ▁the ▁picture ▁is ▁finished !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADJ NOUN VERB VERB PRON DET NOUN CCONJ PRON VERB VERB ADV ADJ ADJ ADV ADP NOUN CCONJ NOUN NOUN VERB ADV ADV ADP DET NOUN PRON VERB PART VERB ADJ DET NOUN ADJ DET ADJ NOUN ADJ VERB ADJ NOUN ADP DET ADJ NOUN VERB ADV ADV VERB ADP DET NOUN DET NOUN VERB VERB VERB
A prostitute caught Graham's eye but he shook his head before she could get off her bar stool.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	DET NOUN VERB PROPN NOUN CCONJ PRON VERB ADJ NOUN ADP PRON VERB VERB ADP ADJ NOUN NOUN	▁A ▁pro stitute ▁caught ▁Gra ham ' s ▁eye ▁but ▁he ▁sh ook ▁his ▁head ▁before ▁she ▁could ▁get ▁off ▁her ▁bar ▁sto ol .	0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB PROPN PROPN PROPN PROPN NOUN CCONJ PRON VERB VERB ADJ NOUN ADP PRON VERB VERB ADP ADJ NOUN NOUN NOUN NOUN
.. ’ The policewoman sounded very wretched, almost distraught, and catching her eye, Sergeant Camb gave her a sharp reproving glance.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PUNCT PUNCT DET NOUN VERB ADV ADJ ADV ADJ CCONJ VERB ADJ NOUN PROPN PROPN VERB PRON DET ADJ NOUN NOUN	▁ . . ▁ ’ ▁The ▁police woman ▁sound ed ▁very ▁w ret ched , ▁almost ▁dis t raught , ▁and ▁catching ▁her ▁eye , ▁Ser ge ant ▁Ca mb ▁gave ▁her ▁a ▁sharp ▁re prov ing ▁glance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PUNCT PUNCT PUNCT DET NOUN NOUN VERB VERB ADV ADJ ADJ ADJ ADJ ADV ADJ ADJ ADJ ADJ CCONJ VERB ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB PRON DET ADJ NOUN NOUN NOUN NOUN NOUN
Dream of the Heart, Passionate Fire, and Fire of the Heart in particular caught his eye.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	NOUN ADP DET PROPN PROPN PROPN CCONJ NOUN ADP DET NOUN ADP ADJ VERB ADJ NOUN	▁D re am ▁of ▁the ▁Heart , ▁Pass ion ate ▁Fire , ▁and ▁Fire ▁of ▁the ▁Heart ▁in ▁particular ▁caught ▁his ▁eye .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ NOUN ADP DET NOUN ADP ADJ VERB ADJ NOUN NOUN
I glance behind to catch Maggie's eyes.	0 0 0 0 1 1 1	catch someone's eye	figurative	combined-inflection	PRON VERB PART PART VERB PROPN NOUN	▁I ▁glance ▁behind ▁to ▁catch ▁Mag g ie ' s ▁eyes .	0 0 0 0 1 1 1 1 1 1 1 1	PRON VERB PART PART VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN
I kind of caught her eye when the others weren't looking.	0 0 0 1 1 1 0 0 0 0 0	catch someone's eye	figurative	combined-inflection	PRON ADV ADV VERB ADJ NOUN ADV DET NOUN VERB VERB	▁I ▁kind ▁of ▁caught ▁her ▁eye ▁when ▁the ▁others ▁were n ' t ▁looking .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	PRON ADV ADV VERB ADJ NOUN ADV DET NOUN VERB VERB VERB VERB VERB VERB
