More than one myth can be held ‘ in the mind’ at one and the same time.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	ADJ ADP NUM NOUN VERB VERB VERB PRON ADP DET NOUN ADP NUM CCONJ DET ADJ NOUN	▁More ▁than ▁one ▁my th ▁can ▁be ▁held ▁ ‘ ▁in ▁the ▁mind ’ ▁at ▁one ▁and ▁the ▁same ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	ADJ ADP NUM NOUN NOUN VERB VERB VERB PRON PRON ADP DET NOUN NOUN ADP NUM CCONJ DET ADJ NOUN NOUN
Computers have the ability to undertake masses of calculations very rapidly, they can perform a number of separate operations at one and the same time, and have the ability to store massive amounts of information.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN VERB DET NOUN PART VERB NOUN ADP NOUN ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADP NUM CCONJ DET ADJ NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN ADP NOUN	▁Computer s ▁have ▁the ▁ability ▁to ▁undertake ▁masses ▁of ▁calculations ▁very ▁rapidly , ▁they ▁can ▁perform ▁a ▁number ▁of ▁separate ▁operations ▁at ▁one ▁and ▁the ▁same ▁time , ▁and ▁have ▁the ▁ability ▁to ▁store ▁massive ▁amounts ▁of ▁information .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB DET NOUN PART VERB NOUN ADP NOUN ADV ADV ADV PRON VERB VERB DET NOUN ADP ADJ NOUN ADP NUM CCONJ DET ADJ NOUN NOUN CCONJ VERB DET NOUN PART VERB ADJ NOUN ADP NOUN NOUN
Country life and gracious living are one and the same at this 16th Century coaching inn in the heart of the Cotswolds.	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN NOUN CCONJ ADJ NOUN VERB NUM CCONJ DET ADJ ADP DET ADJ PROPN NOUN NOUN ADP DET NOUN ADP DET PROPN	▁Country ▁life ▁and ▁g rac ious ▁living ▁are ▁one ▁and ▁the ▁same ▁at ▁this ▁16 th ▁C ent ury ▁coach ing ▁in n ▁in ▁the ▁heart ▁of ▁the ▁Cot s w old s .	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN CCONJ ADJ ADJ ADJ NOUN VERB NUM CCONJ DET ADJ ADP DET ADJ ADJ PROPN PROPN PROPN NOUN NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN
One such example given is Polynesia, and the evidence depends on the fact that in Polynesian kinship terminology, only differences of generation and sex are recognized, so that all males of the generation directly preceding one's own are referred to by one and the same word, which was glossed by Morgan as ‘ father’ ; similarly, all females of this same generation are referred to one term, which can be glossed as ‘ mother’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NUM ADJ NOUN VERB VERB PROPN CCONJ DET NOUN VERB ADP DET NOUN ADP ADP ADJ NOUN NOUN ADV NOUN ADP NOUN CCONJ NOUN VERB VERB ADP ADP DET NOUN ADP DET NOUN ADV VERB PRON ADJ VERB VERB ADP ADP NUM CCONJ DET ADJ NOUN ADJ VERB VERB ADP PROPN ADP PUNCT NOUN PUNCT ADV DET NOUN ADP DET ADJ NOUN VERB VERB ADP NUM NOUN ADJ VERB VERB VERB ADP PUNCT NOUN	▁One ▁such ▁example ▁given ▁is ▁Polynesia , ▁and ▁the ▁evidence ▁depends ▁on ▁the ▁fact ▁that ▁in ▁Polynesia n ▁ kin ship ▁terminology , ▁only ▁differences ▁of ▁generation ▁and ▁sex ▁are ▁recognized , ▁so ▁that ▁all ▁males ▁of ▁the ▁generation ▁directly ▁preceding ▁one ' s ▁own ▁are ▁referred ▁to ▁by ▁one ▁and ▁the ▁same ▁word , ▁which ▁was ▁gloss ed ▁by ▁M organ ▁as ▁ ‘ ▁father ’ ▁ ; ▁similarly , ▁all ▁females ▁of ▁this ▁same ▁generation ▁are ▁referred ▁to ▁one ▁term , ▁which ▁can ▁be ▁gloss ed ▁as ▁ ‘ ▁mother ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM ADJ NOUN VERB VERB PROPN PROPN CCONJ DET NOUN VERB ADP DET NOUN ADP ADP ADJ ADJ NOUN NOUN NOUN NOUN NOUN ADV NOUN ADP NOUN CCONJ NOUN VERB VERB VERB ADP ADP DET NOUN ADP DET NOUN ADV VERB PRON PRON PRON ADJ VERB VERB ADP ADP NUM CCONJ DET ADJ NOUN NOUN ADJ VERB VERB VERB ADP PROPN PROPN ADP PUNCT PUNCT NOUN NOUN PUNCT PUNCT ADV ADV DET NOUN ADP DET ADJ NOUN VERB VERB ADP NUM NOUN NOUN ADJ VERB VERB VERB VERB ADP PUNCT PUNCT NOUN NOUN NOUN
You can and should " learn to learn " and " learn to live " at one and the same time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	PRON VERB CCONJ VERB PUNCT VERB PART VERB PUNCT CCONJ PUNCT VERB PART VERB PUNCT ADP NUM CCONJ DET ADJ NOUN	▁You ▁can ▁and ▁should ▁" ▁learn ▁to ▁learn ▁" ▁and ▁" ▁learn ▁to ▁live ▁" ▁at ▁one ▁and ▁the ▁same ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PRON VERB CCONJ VERB PUNCT VERB PART VERB PUNCT CCONJ PUNCT VERB PART VERB PUNCT ADP NUM CCONJ DET ADJ NOUN NOUN
Globalization has several dimensions, and, though economists all too often portray it and the world economy as being one and the same, other forms of globalization also have significant effects – not all of them benign – on our daily lives.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN VERB ADJ NOUN CCONJ ADP NOUN ADV ADV ADV VERB PRON CCONJ DET NOUN NOUN ADP VERB NUM CCONJ DET ADJ ADJ NOUN ADP NOUN ADV VERB ADJ NOUN PUNCT ADV DET ADP PRON ADJ PUNCT ADP ADJ ADJ NOUN	▁Global ization ▁has ▁several ▁dimensions , ▁and , ▁though ▁economi sts ▁all ▁too ▁often ▁portray ▁it ▁and ▁the ▁world ▁economy ▁as ▁being ▁one ▁and ▁the ▁same , ▁other ▁forms ▁of ▁globalization ▁also ▁have ▁significant ▁effects ▁ – ▁not ▁all ▁of ▁them ▁be nign ▁ – ▁on ▁our ▁daily ▁lives .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADJ NOUN NOUN CCONJ CCONJ ADP NOUN NOUN ADV ADV ADV VERB PRON CCONJ DET NOUN NOUN ADP VERB NUM CCONJ DET ADJ ADJ ADJ NOUN ADP NOUN ADV VERB ADJ NOUN PUNCT PUNCT ADV DET ADP PRON ADJ ADJ PUNCT PUNCT ADP ADJ ADJ NOUN NOUN
The ‘ I’ at one and the same time transcends the body ( so that for instance we talk of our bodies as something separate from ourselves and say that we ‘ have’them rather than‘are’them ) and is immanent or present in the body.	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	DET PUNCT NOUN ADP NUM CCONJ DET ADJ NOUN VERB DET NOUN PUNCT ADP ADP ADP NOUN PRON VERB ADP ADJ NOUN ADP NOUN ADJ ADP PRON CCONJ VERB ADP PRON VERB PRON ADV PROPN PUNCT CCONJ VERB ADJ CCONJ ADJ ADP DET NOUN	▁The ▁ ‘ ▁I ’ ▁at ▁one ▁and ▁the ▁same ▁time ▁transcend s ▁the ▁body ▁( ▁so ▁that ▁for ▁instance ▁we ▁talk ▁of ▁our ▁bodies ▁as ▁something ▁separate ▁from ▁ourselves ▁and ▁say ▁that ▁we ▁ ‘ ▁have ’ the m ▁rather ▁than ‘ are ’ the m ▁ ) ▁and ▁is ▁im man ent ▁or ▁present ▁in ▁the ▁body .	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PUNCT PUNCT NOUN NOUN ADP NUM CCONJ DET ADJ NOUN VERB VERB DET NOUN PUNCT ADP ADP ADP NOUN PRON VERB ADP ADJ NOUN ADP NOUN ADJ ADP PRON CCONJ VERB ADP PRON VERB VERB PRON PRON PRON PRON ADV PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT CCONJ VERB ADJ ADJ ADJ CCONJ ADJ ADP DET NOUN NOUN
the proletarians of all countries have one and the same interest, one and the same enemy, and one and the same struggle.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	one and the same	figurative	identical	DET NOUN ADP DET NOUN VERB NUM CCONJ DET ADJ NOUN NUM CCONJ DET ADJ NOUN CCONJ NUM CCONJ DET ADJ NOUN	▁the ▁pro let arian s ▁of ▁all ▁countries ▁have ▁one ▁and ▁the ▁same ▁interest , ▁one ▁and ▁the ▁same ▁enemy , ▁and ▁one ▁and ▁the ▁same ▁struggle .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN NOUN ADP DET NOUN VERB NUM CCONJ DET ADJ NOUN NOUN NUM CCONJ DET ADJ NOUN NOUN CCONJ NUM CCONJ DET ADJ NOUN NOUN
On World in Action, Mr Kinnock showed that he can be pithy and incomprehensible at one and the same time.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	ADP PROPN ADP PROPN PROPN PROPN VERB ADP PRON VERB VERB ADJ CCONJ ADJ ADP NUM CCONJ DET ADJ NOUN	▁On ▁World ▁in ▁Action , ▁Mr ▁Kin nock ▁showed ▁that ▁he ▁can ▁be ▁pit hy ▁and ▁in comprehensible ▁at ▁one ▁and ▁the ▁same ▁time .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	ADP PROPN ADP PROPN PROPN PROPN PROPN PROPN VERB ADP PRON VERB VERB ADJ ADJ CCONJ ADJ ADJ ADP NUM CCONJ DET ADJ NOUN NOUN
Answer : P is the first letter of Paddy and N is the last letter of Ashdown and since both Polly and Paddy live in Yeovil it can therefore be extrapolated that they are one and the same and hence God exists.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	one and the same	figurative	identical	NOUN PUNCT NOUN VERB DET ADJ NOUN ADP PROPN CCONJ PROPN VERB DET ADJ NOUN ADP PROPN CCONJ ADP DET PROPN CCONJ PROPN VERB ADP NOUN PRON VERB ADV VERB VERB ADP PRON VERB NUM CCONJ DET ADJ CCONJ ADV PROPN VERB	▁Answer ▁ : ▁P ▁is ▁the ▁first ▁letter ▁of ▁Pad dy ▁and ▁N ▁is ▁the ▁last ▁letter ▁of ▁Ash down ▁and ▁since ▁both ▁Pol ly ▁and ▁Pad dy ▁live ▁in ▁Ye o vil ▁it ▁can ▁therefore ▁be ▁extrapolated ▁that ▁they ▁are ▁one ▁and ▁the ▁same ▁and ▁hence ▁God ▁exists .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	NOUN PUNCT PUNCT NOUN VERB DET ADJ NOUN ADP PROPN PROPN CCONJ PROPN VERB DET ADJ NOUN ADP PROPN PROPN CCONJ ADP DET PROPN PROPN CCONJ PROPN PROPN VERB ADP NOUN NOUN NOUN PRON VERB ADV VERB VERB ADP PRON VERB NUM CCONJ DET ADJ CCONJ ADV PROPN VERB VERB
Man is, at one and the same time, a solitary being and a social being.	0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	one and the same	figurative	identical	NOUN VERB ADP NUM CCONJ DET ADJ NOUN DET ADJ NOUN CCONJ DET ADJ NOUN	▁Man ▁is , ▁at ▁one ▁and ▁the ▁same ▁time , ▁a ▁so lit ary ▁being ▁and ▁a ▁social ▁being .	0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB VERB ADP NUM CCONJ DET ADJ NOUN NOUN DET ADJ ADJ ADJ NOUN CCONJ DET ADJ NOUN NOUN
So the bureaucracy ‘ puts itself at the service of the political interests of the hegemonic class’(Poulantzas 1973, p. 337 ) when the class from which the members of the state apparatus are recruited and the hegemonic class are not one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	ADV DET NOUN PUNCT VERB PRON ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ NOUN NUM NOUN NUM PUNCT ADV DET NOUN ADP ADJ DET NOUN ADP DET NOUN NOUN VERB VERB CCONJ DET ADJ NOUN VERB ADV NUM CCONJ DET ADJ	▁So ▁the ▁bureaucra cy ▁ ‘ ▁puts ▁itself ▁at ▁the ▁service ▁of ▁the ▁political ▁interests ▁of ▁the ▁he g em onic ▁class ’ ( P oul ant za s ▁1973 , ▁p . ▁337 ▁ ) ▁when ▁the ▁class ▁from ▁which ▁the ▁members ▁of ▁the ▁state ▁apparatus ▁are ▁recruited ▁and ▁the ▁he g em onic ▁class ▁are ▁not ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	ADV DET NOUN NOUN PUNCT PUNCT VERB PRON ADP DET NOUN ADP DET ADJ NOUN ADP DET ADJ ADJ ADJ ADJ NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN NUM NUM NOUN NOUN NUM PUNCT PUNCT ADV DET NOUN ADP ADJ DET NOUN ADP DET NOUN NOUN VERB VERB CCONJ DET ADJ ADJ ADJ ADJ NOUN VERB ADV NUM CCONJ DET ADJ ADJ
At one and the same time, you benefit from the best available local plans tailored to suit your company's needs and the backing of an experienced and reliable international Network, for a cost - benefit ratio that may well astound you.	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADP NUM CCONJ DET ADJ NOUN PRON VERB ADP DET ADJ ADJ ADJ NOUN VERB PART VERB ADJ NOUN NOUN CCONJ DET NOUN ADP DET ADJ CCONJ ADJ PROPN PROPN ADP DET NOUN PUNCT NOUN NOUN ADJ VERB ADV VERB PRON	▁At ▁one ▁and ▁the ▁same ▁time , ▁you ▁benefit ▁from ▁the ▁best ▁available ▁local ▁plans ▁tailored ▁to ▁suit ▁your ▁company ' s ▁needs ▁and ▁the ▁backing ▁of ▁an ▁experienced ▁and ▁reliable ▁international ▁Network , ▁for ▁a ▁cost ▁- ▁benefit ▁ratio ▁that ▁may ▁well ▁as t ound ▁you .	0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NUM CCONJ DET ADJ NOUN NOUN PRON VERB ADP DET ADJ ADJ ADJ NOUN VERB PART VERB ADJ NOUN NOUN NOUN NOUN CCONJ DET NOUN ADP DET ADJ CCONJ ADJ PROPN PROPN PROPN ADP DET NOUN PUNCT NOUN NOUN ADJ VERB ADV VERB VERB VERB PRON PRON
But as the organisation has seen to be when it meets generally speaking, the council and the executive are one and the same dealing with exactly the same business, I 've considered it a meeting of the organisation, and the organisation now basically is going to be the seven sub - committee plus an Annual General Meeting of it's full council.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	CCONJ ADP DET NOUN VERB VERB PART VERB ADV PRON VERB ADV VERB DET NOUN CCONJ DET NOUN VERB NUM CCONJ DET ADJ NOUN ADP ADV DET ADJ NOUN PRON VERB VERB PRON DET NOUN ADP DET NOUN CCONJ DET NOUN ADV ADV VERB VERB PART VERB DET NUM NOUN PUNCT NOUN CCONJ DET PROPN PROPN PROPN ADP PRON ADJ NOUN	▁But ▁as ▁the ▁organisation ▁has ▁seen ▁to ▁be ▁when ▁it ▁meets ▁generally ▁speaking , ▁the ▁council ▁and ▁the ▁executive ▁are ▁one ▁and ▁the ▁same ▁dealing ▁with ▁exactly ▁the ▁same ▁business , ▁I ▁' ve ▁considered ▁it ▁a ▁meeting ▁of ▁the ▁organisation , ▁and ▁the ▁organisation ▁now ▁basic ally ▁is ▁going ▁to ▁be ▁the ▁seven ▁sub ▁- ▁committee ▁plus ▁an ▁Annual ▁General ▁Meeting ▁of ▁it ' s ▁full ▁council .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP DET NOUN VERB VERB PART VERB ADV PRON VERB ADV VERB VERB DET NOUN CCONJ DET NOUN VERB NUM CCONJ DET ADJ NOUN ADP ADV DET ADJ NOUN NOUN PRON VERB VERB VERB PRON DET NOUN ADP DET NOUN NOUN CCONJ DET NOUN ADV ADV ADV VERB VERB PART VERB DET NUM NOUN PUNCT NOUN CCONJ DET PROPN PROPN PROPN ADP PRON PRON PRON ADJ NOUN NOUN
However, it is not sufficient to constitute two pieces of land parts of one and the same curtilage that they should have been conveyed or demised together, for a single conveyance or lease can comprise more than one parcel of land, neither of which need be in any sense an appurtenance of the other or within the curtilage of the other ; nor is it sufficient that they have been occupied together ; nor is the test whether the enjoyment of one is advantageous or convenient or necessary for the full enjoyment of the other.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	ADV PRON VERB ADV ADJ PART VERB NUM NOUN ADP NOUN NOUN ADP NUM CCONJ DET ADJ NOUN ADP PRON VERB VERB VERB VERB CCONJ VERB ADV ADP DET ADJ NOUN CCONJ NOUN VERB VERB ADJ ADP NUM NOUN ADP NOUN DET ADP ADJ VERB VERB ADP DET NOUN DET NOUN ADP DET ADJ CCONJ ADP DET NOUN ADP DET ADJ PUNCT CCONJ VERB PRON ADJ ADP PRON VERB VERB VERB ADV PUNCT CCONJ VERB DET NOUN ADP DET NOUN ADP NUM VERB ADJ CCONJ ADJ CCONJ ADJ ADP DET ADJ NOUN ADP DET ADJ	▁However , ▁it ▁is ▁not ▁sufficient ▁to ▁constitute ▁two ▁pieces ▁of ▁land ▁parts ▁of ▁one ▁and ▁the ▁same ▁cur til age ▁that ▁they ▁should ▁have ▁been ▁conveyed ▁or ▁dem ised ▁together , ▁for ▁a ▁single ▁conveyance ▁or ▁lease ▁can ▁comprise ▁more ▁than ▁one ▁parcel ▁of ▁land , ▁neither ▁of ▁which ▁need ▁be ▁in ▁any ▁sense ▁an ▁app ur ten ance ▁of ▁the ▁other ▁or ▁within ▁the ▁cur til age ▁of ▁the ▁other ▁ ; ▁nor ▁is ▁it ▁sufficient ▁that ▁they ▁have ▁been ▁occupied ▁together ▁ ; ▁nor ▁is ▁the ▁test ▁whether ▁the ▁enjoy ment ▁of ▁one ▁is ▁advantageous ▁or ▁convenient ▁or ▁necessary ▁for ▁the ▁full ▁enjoy ment ▁of ▁the ▁other .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PRON VERB ADV ADJ PART VERB NUM NOUN ADP NOUN NOUN ADP NUM CCONJ DET ADJ NOUN NOUN NOUN ADP PRON VERB VERB VERB VERB CCONJ VERB VERB ADV ADV ADP DET ADJ NOUN CCONJ NOUN VERB VERB ADJ ADP NUM NOUN ADP NOUN NOUN DET ADP ADJ VERB VERB ADP DET NOUN DET NOUN NOUN NOUN NOUN ADP DET ADJ CCONJ ADP DET NOUN NOUN NOUN ADP DET ADJ PUNCT PUNCT CCONJ VERB PRON ADJ ADP PRON VERB VERB VERB ADV PUNCT PUNCT CCONJ VERB DET NOUN ADP DET NOUN NOUN ADP NUM VERB ADJ CCONJ ADJ CCONJ ADJ ADP DET ADJ NOUN NOUN ADP DET ADJ ADJ
Recall that we are temporarily assuming that irreducibles and primes are one and the same thing in Z.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	one and the same	figurative	identical	VERB ADP PRON VERB ADV VERB ADP NOUN CCONJ NOUN VERB NUM CCONJ DET ADJ NOUN ADP PROPN	▁Recall ▁that ▁we ▁are ▁temporarily ▁assuming ▁that ▁irre d uc ible s ▁and ▁prime s ▁are ▁one ▁and ▁the ▁same ▁thing ▁in ▁Z .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	VERB ADP PRON VERB ADV VERB ADP NOUN NOUN NOUN NOUN NOUN CCONJ NOUN NOUN VERB NUM CCONJ DET ADJ NOUN ADP PROPN PROPN
I do think some formal education could start sooner, but I wouldn't want you or the listeners to think that nursery education and formal education are one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	PRON VERB VERB DET ADJ NOUN VERB VERB ADV CCONJ PRON VERB VERB PRON CCONJ DET NOUN PART VERB ADP NOUN NOUN CCONJ ADJ NOUN VERB NUM CCONJ DET ADJ	▁I ▁do ▁think ▁some ▁formal ▁education ▁could ▁start ▁sooner , ▁but ▁I ▁would n ' t ▁want ▁you ▁or ▁the ▁listen ers ▁to ▁think ▁that ▁nursery ▁education ▁and ▁formal ▁education ▁are ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	PRON VERB VERB DET ADJ NOUN VERB VERB ADV ADV CCONJ PRON VERB VERB VERB VERB VERB PRON CCONJ DET NOUN NOUN PART VERB ADP NOUN NOUN CCONJ ADJ NOUN VERB NUM CCONJ DET ADJ ADJ
It is possible that the two women are one and the same, or that there is a serial killer on the prowl, but as none of Barbs's friends or neighbours give a damn where she is, her continuing absence occasions little comment.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one and the same	figurative	identical	PRON VERB ADJ ADP DET NUM NOUN VERB NUM CCONJ DET ADJ CCONJ ADP ADV VERB DET ADJ NOUN ADP DET NOUN CCONJ ADP NOUN ADP PROPN NOUN CCONJ NOUN VERB DET NOUN ADV PRON VERB ADJ VERB NOUN NOUN ADJ NOUN	▁It ▁is ▁possible ▁that ▁the ▁two ▁women ▁are ▁one ▁and ▁the ▁same , ▁or ▁that ▁there ▁is ▁a ▁serial ▁kill er ▁on ▁the ▁pro wl , ▁but ▁as ▁none ▁of ▁Bar b s ' s ▁friends ▁or ▁neighbours ▁give ▁a ▁dam n ▁where ▁she ▁is , ▁her ▁continuing ▁absence ▁occasions ▁little ▁comment .	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP DET NUM NOUN VERB NUM CCONJ DET ADJ ADJ CCONJ ADP ADV VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN NOUN CCONJ ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN CCONJ NOUN VERB DET NOUN NOUN ADV PRON VERB VERB ADJ VERB NOUN NOUN ADJ NOUN NOUN
The passing of time had eroded the picture from his mind as much as he could possibly allow it, so that now the two images were one and the same.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	one and the same	figurative	identical	DET NOUN ADP NOUN VERB VERB DET NOUN ADP ADJ NOUN ADV ADV ADP PRON VERB ADV VERB PRON ADP ADP ADV DET NUM NOUN VERB NUM CCONJ DET ADJ	▁The ▁passing ▁of ▁time ▁had ▁eroded ▁the ▁picture ▁from ▁his ▁mind ▁as ▁much ▁as ▁he ▁could ▁possibly ▁allow ▁it , ▁so ▁that ▁now ▁the ▁two ▁images ▁were ▁one ▁and ▁the ▁same .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1	DET NOUN ADP NOUN VERB VERB DET NOUN ADP ADJ NOUN ADV ADV ADP PRON VERB ADV VERB PRON PRON ADP ADP ADV DET NUM NOUN VERB NUM CCONJ DET ADJ ADJ
We all must understand that saving our planet, lifting people out of poverty, and advancing economic growth are one and the same fight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	one and the same	figurative	identical	PRON DET VERB VERB ADP VERB ADJ NOUN VERB NOUN ADP ADP NOUN CCONJ VERB ADJ NOUN VERB NUM CCONJ DET ADJ NOUN	▁We ▁all ▁must ▁understand ▁that ▁saving ▁our ▁planet , ▁lifting ▁people ▁out ▁of ▁poverty , ▁and ▁advancing ▁economic ▁growth ▁are ▁one ▁and ▁the ▁same ▁fight .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0	PRON DET VERB VERB ADP VERB ADJ NOUN NOUN VERB NOUN ADP ADP NOUN NOUN CCONJ VERB ADJ NOUN VERB NUM CCONJ DET ADJ NOUN NOUN
