They are also a way of injecting new blood into the Fair.	0 0 0 0 0 0 0 1 1 0 0 0	new blood	figurative	identical	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN	▁They ▁are ▁also ▁a ▁way ▁of ▁injecting ▁new ▁blood ▁into ▁the ▁Fair .	0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB ADV DET NOUN ADP VERB ADJ NOUN ADP DET PROPN PROPN
The move was part of a radical ministerial reshuffle by John Major designed to bring new blood to the Government after the Conservative election victory.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN VERB NOUN ADP DET ADJ ADJ NOUN ADP PROPN PROPN VERB PART VERB ADJ NOUN ADP DET PROPN ADP DET ADJ NOUN NOUN	▁The ▁move ▁was ▁part ▁of ▁a ▁radical ▁ministerial ▁re sh uff le ▁by ▁John ▁Major ▁designed ▁to ▁bring ▁new ▁blood ▁to ▁the ▁Government ▁after ▁the ▁C onservative ▁election ▁victory .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB NOUN ADP DET ADJ ADJ NOUN NOUN NOUN NOUN ADP PROPN PROPN VERB PART VERB ADJ NOUN ADP DET PROPN ADP DET ADJ ADJ NOUN NOUN NOUN
I feel that we need now new blood on the committee, and coupled with the fact that I 've done one one more year than the constitution says I should, I 'm not standing for reelection as Chairman.	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADP PRON VERB ADV ADJ NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN ADP PRON VERB VERB NUM NUM ADJ NOUN ADP DET NOUN VERB PRON VERB PRON VERB ADV VERB ADP NOUN ADP PROPN	▁I ▁feel ▁that ▁we ▁need ▁now ▁new ▁blood ▁on ▁the ▁committee , ▁and ▁coupled ▁with ▁the ▁fact ▁that ▁I ▁' ve ▁done ▁one ▁one ▁more ▁year ▁than ▁the ▁constitution ▁says ▁I ▁should , ▁I ▁' m ▁not ▁standing ▁for ▁re election ▁as ▁Chairman .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP PRON VERB ADV ADJ NOUN ADP DET NOUN NOUN CCONJ VERB ADP DET NOUN ADP PRON VERB VERB VERB NUM NUM ADJ NOUN ADP DET NOUN VERB PRON VERB VERB PRON VERB VERB ADV VERB ADP NOUN NOUN ADP PROPN PROPN
Fairies greatly value human babies as a means of introducing new blood to their dwindling race, so have been known to steal them and leave a useless object behind.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	NOUN ADV VERB ADJ NOUN ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN NOUN ADV VERB VERB VERB PART VERB PRON CCONJ VERB DET ADJ NOUN ADV	▁Fair ies ▁greatly ▁value ▁human ▁babies ▁as ▁a ▁means ▁of ▁introducing ▁new ▁blood ▁to ▁their ▁d wind ling ▁race , ▁so ▁have ▁been ▁known ▁to ▁ste al ▁them ▁and ▁leave ▁a ▁useless ▁object ▁behind .	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN ADV VERB ADJ NOUN ADP DET NOUN ADP VERB ADJ NOUN ADP ADJ NOUN NOUN NOUN NOUN NOUN ADV VERB VERB VERB PART VERB VERB PRON CCONJ VERB DET ADJ NOUN ADV ADV
Ylva would bring new blood and perhaps attract new funds to the zoo's breeding project.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN VERB VERB ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN NOUN	▁Y lva ▁would ▁bring ▁new ▁blood ▁and ▁perhaps ▁attract ▁new ▁funds ▁to ▁the ▁zoo ' s ▁breeding ▁project .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB VERB ADJ NOUN CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN
Stockton Twinning Association needs new blood to extend the town's hand of friendship to its twin town of Asnieres - sur - Seine, on the northern outskirts of Paris.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN PROPN VERB ADJ NOUN PART VERB DET NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN ADP PROPN PUNCT PROPN PUNCT PROPN ADP DET ADJ NOUN ADP PROPN	▁Stock ton ▁Twin ning ▁Association ▁needs ▁new ▁blood ▁to ▁extend ▁the ▁town ' s ▁hand ▁of ▁friendship ▁to ▁its ▁twin ▁town ▁of ▁As nie res ▁- ▁sur ▁- ▁Se ine , ▁on ▁the ▁northern ▁out ski rt s ▁of ▁Paris .	0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN NOUN ADP NOUN ADP ADJ ADJ NOUN ADP PROPN PROPN PROPN PUNCT PROPN PUNCT PROPN PROPN PROPN ADP DET ADJ NOUN NOUN NOUN NOUN ADP PROPN PROPN
The face in the picture was still terrible — more hateful, if possible, than before — and the red on the hand seemed brighter, like new blood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	new blood	literal	identical	DET NOUN ADP DET NOUN VERB ADV ADJ PUNCT ADV ADJ ADP ADJ ADP ADP PUNCT CCONJ DET NOUN ADP DET NOUN VERB ADJ ADP ADJ NOUN	▁The ▁face ▁in ▁the ▁picture ▁was ▁still ▁terrible ▁ — ▁more ▁hate ful , ▁if ▁possible , ▁than ▁before ▁ — ▁and ▁the ▁red ▁on ▁the ▁hand ▁seemed ▁bright er , ▁like ▁new ▁blood .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	DET NOUN ADP DET NOUN VERB ADV ADJ PUNCT PUNCT ADV ADJ ADJ ADJ ADP ADJ ADJ ADP ADP PUNCT PUNCT CCONJ DET NOUN ADP DET NOUN VERB ADJ ADJ ADJ ADP ADJ NOUN NOUN
The state of goth — as catch - all historical movement for the too - ugly and the too - grim and as a modern phenom — is given little credence by UK Decay, the ridiculous Virgin Prunes, the talentless and misguided Christian Death, The Neff's rubbish psychobilly and the new blood's slavering adherence to the Sisters Of Mercy songbook ( eg Rosetta Stone, James Ray, Nosferatu ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	DET NOUN ADP NOUN PUNCT ADP NOUN PUNCT DET ADJ NOUN ADP DET ADV PUNCT ADJ CCONJ DET ADV PUNCT ADJ CCONJ ADP DET ADJ NOUN PUNCT VERB VERB ADJ NOUN ADP PROPN PROPN DET ADJ PROPN PROPN DET NOUN CCONJ ADJ PROPN PROPN DET PROPN NOUN ADV CCONJ DET ADJ NOUN ADJ NOUN ADP DET PROPN ADP PROPN NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PUNCT	▁The ▁state ▁of ▁go th ▁ — ▁as ▁catch ▁- ▁all ▁historical ▁movement ▁for ▁the ▁too ▁- ▁ ug ly ▁and ▁the ▁too ▁- ▁g rim ▁and ▁as ▁a ▁modern ▁phen om ▁ — ▁is ▁given ▁little ▁cre dence ▁by ▁UK ▁Dec ay , ▁the ▁ridiculous ▁Virgin ▁Pru nes , ▁the ▁talent less ▁and ▁mis guided ▁Christian ▁Death , ▁The ▁Ne ff ' s ▁rubbish ▁psycho b illy ▁and ▁the ▁new ▁blood ' s ▁slave ring ▁adherence ▁to ▁the ▁Si sters ▁Of ▁Merc y ▁so ng book ▁( ▁eg ▁Ro s etta ▁Stone , ▁James ▁Ray , ▁Nos fer atu ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN ADP NOUN NOUN PUNCT PUNCT ADP NOUN PUNCT DET ADJ NOUN ADP DET ADV PUNCT ADJ ADJ ADJ CCONJ DET ADV PUNCT ADJ ADJ CCONJ ADP DET ADJ NOUN NOUN PUNCT PUNCT VERB VERB ADJ NOUN NOUN ADP PROPN PROPN PROPN PROPN DET ADJ PROPN PROPN PROPN PROPN DET NOUN NOUN CCONJ ADJ ADJ PROPN PROPN PROPN DET PROPN PROPN PROPN PROPN NOUN ADV ADV ADV CCONJ DET ADJ NOUN NOUN NOUN ADJ ADJ NOUN ADP DET PROPN PROPN ADP PROPN PROPN NOUN NOUN NOUN PUNCT PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PUNCT
At its best, it extended the family circle and brought in new blood ; it relayed vital personal information ( too often dismissed as gossip ) and offered an informal moot for exchanging opinions and information.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP ADJ ADJ PRON VERB DET NOUN NOUN CCONJ VERB PART ADJ NOUN PUNCT PRON VERB ADJ ADJ NOUN PUNCT ADV ADV VERB ADP NOUN PUNCT CCONJ VERB DET ADJ NOUN ADP VERB NOUN CCONJ NOUN	▁At ▁its ▁best , ▁it ▁extended ▁the ▁family ▁circle ▁and ▁brought ▁in ▁new ▁blood ▁ ; ▁it ▁relay ed ▁vital ▁personal ▁information ▁( ▁too ▁often ▁dismissed ▁as ▁go s s ip ▁ ) ▁and ▁offered ▁an ▁informal ▁m oot ▁for ▁exchanging ▁opinions ▁and ▁information .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADJ ADJ ADJ PRON VERB DET NOUN NOUN CCONJ VERB PART ADJ NOUN PUNCT PUNCT PRON VERB VERB ADJ ADJ NOUN PUNCT ADV ADV VERB ADP NOUN NOUN NOUN NOUN PUNCT PUNCT CCONJ VERB DET ADJ NOUN NOUN ADP VERB NOUN CCONJ NOUN NOUN
Mr Hitch's son told me that there was a lack of enthusiasm a few years ago but, with new blood on the committee, it is once again gaining in popularity.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN NOUN VERB PRON ADP ADV VERB DET NOUN ADP NOUN DET ADJ NOUN ADV CCONJ ADP ADJ NOUN ADP DET NOUN PRON VERB ADV ADV VERB ADP NOUN	▁Mr ▁H itch ' s ▁son ▁told ▁me ▁that ▁there ▁was ▁a ▁lack ▁of ▁enthusiasm ▁a ▁few ▁years ▁ago ▁but , ▁with ▁new ▁blood ▁on ▁the ▁committee , ▁it ▁is ▁once ▁again ▁gaining ▁in ▁popular ity .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB PRON ADP ADV VERB DET NOUN ADP NOUN DET ADJ NOUN ADV CCONJ CCONJ ADP ADJ NOUN ADP DET NOUN NOUN PRON VERB ADV ADV VERB ADP NOUN NOUN NOUN
They received an influx of new blood in 1691, during one of the many episodes in the interminable struggle between Austria and Turkey for control of the Balkans.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP NUM ADP NUM ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN CCONJ PROPN ADP NOUN ADP DET PROPN	▁They ▁received ▁an ▁in flu x ▁of ▁new ▁blood ▁in ▁169 1, ▁during ▁one ▁of ▁the ▁many ▁episodes ▁in ▁the ▁inter min able ▁struggle ▁between ▁Austria ▁and ▁Turkey ▁for ▁control ▁of ▁the ▁Balkans .	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN NOUN NOUN ADP ADJ NOUN ADP NUM NUM ADP NUM ADP DET ADJ NOUN ADP DET ADJ ADJ ADJ NOUN ADP PROPN CCONJ PROPN ADP NOUN ADP DET PROPN PROPN
More new blood was emerging.	0 1 1 0 0	new blood	figurative	identical	ADJ ADJ NOUN VERB VERB	▁More ▁new ▁blood ▁was ▁emerging .	0 1 1 0 0 0	ADJ ADJ NOUN VERB VERB VERB
He was jealous of new blood, particularly when it was as blue as Angel's, but Luke, who knew how hard it was to get established, had recognized Angel's talent.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PRON VERB ADJ ADP ADJ NOUN ADV ADV PRON VERB ADV ADJ ADP PROPN CCONJ PROPN NOUN VERB ADV ADV PRON VERB PART VERB VERB VERB VERB PROPN NOUN	▁He ▁was ▁jealous ▁of ▁new ▁blood , ▁particularly ▁when ▁it ▁was ▁as ▁blue ▁as ▁Angel ' s , ▁but ▁L uke , ▁who ▁knew ▁how ▁hard ▁it ▁was ▁to ▁get ▁established , ▁had ▁recognized ▁Angel ' s ▁talent .	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADJ ADP ADJ NOUN NOUN ADV ADV PRON VERB ADV ADJ ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN NOUN VERB ADV ADV PRON VERB PART VERB VERB VERB VERB VERB PROPN PROPN PROPN NOUN NOUN
Shaikh Khalifa continued during 1990 with his plans to introduce new blood into the country's leading positions ; in January Abdulla Khalid al - Attiya, an experienced commercial banker, was appointed head of the Qatar Monetary Agency [ see p. 37432 ].	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	PROPN PROPN VERB ADP NUM ADP ADJ NOUN PART VERB ADJ NOUN ADP DET NOUN VERB NOUN PUNCT ADP PROPN PROPN PROPN PROPN PUNCT PROPN DET ADJ ADJ NOUN VERB VERB NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN NUM PUNCT	▁Sha i kh ▁Kha li fa ▁continued ▁during ▁1990 ▁with ▁his ▁plans ▁to ▁introduce ▁new ▁blood ▁into ▁the ▁country ' s ▁leading ▁positions ▁ ; ▁in ▁January ▁Abdul la ▁K halid ▁al ▁- ▁At t iya , ▁an ▁experienced ▁commercial ▁bank er , ▁was ▁appointed ▁head ▁of ▁the ▁Qatar ▁Monetary ▁Agency ▁[ ▁see ▁p . ▁374 32 ▁] .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP NUM ADP ADJ NOUN PART VERB ADJ NOUN ADP DET NOUN NOUN NOUN VERB NOUN PUNCT PUNCT ADP PROPN PROPN PROPN PROPN PROPN PROPN PUNCT PROPN PROPN PROPN PROPN DET ADJ ADJ NOUN NOUN NOUN VERB VERB NOUN ADP DET PROPN PROPN PROPN PUNCT VERB NOUN NOUN NUM NUM PUNCT PUNCT
Promoted at the end of last season to Division 1 of the West Middlesex Midweek Cricket League, the team is searching for new blood to add to the pool of players to make sure they stay there.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	VERB ADP DET NOUN ADP ADJ NOUN ADP PROPN NUM ADP DET PROPN PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADP ADJ NOUN PART VERB ADP DET NOUN ADP NOUN PART VERB ADJ PRON VERB ADV	▁Promote d ▁at ▁the ▁end ▁of ▁last ▁season ▁to ▁Division ▁1 ▁of ▁the ▁West ▁Middle s ex ▁Mid week ▁C rick et ▁League , ▁the ▁team ▁is ▁searching ▁for ▁new ▁blood ▁to ▁add ▁to ▁the ▁pool ▁of ▁players ▁to ▁make ▁sure ▁they ▁stay ▁there .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB ADP DET NOUN ADP ADJ NOUN ADP PROPN NUM ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN DET NOUN VERB VERB ADP ADJ NOUN PART VERB ADP DET NOUN ADP NOUN PART VERB ADJ PRON VERB ADV ADV
Embryo transfer is potentially the safest way of introducing new blood - lines, though even this is not entirely safe ; the outside of a goat embryo resembles a rolled up hedgehog and can not be washed clean!	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	NOUN NOUN VERB ADV DET ADJ NOUN ADP VERB ADJ NOUN PUNCT NOUN ADP ADV DET VERB ADV ADV ADJ PUNCT DET NOUN ADP DET NOUN NOUN VERB DET VERB PART ADV CCONJ VERB ADV VERB VERB ADJ	▁Em br yo ▁transfer ▁is ▁potentially ▁the ▁safe st ▁way ▁of ▁introducing ▁new ▁blood ▁- ▁lines , ▁though ▁even ▁this ▁is ▁not ▁entirely ▁safe ▁ ; ▁the ▁outside ▁of ▁a ▁goat ▁embryo ▁resembl es ▁a ▁rolled ▁up ▁hedge ho g ▁and ▁can ▁not ▁be ▁washed ▁clean !	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN NOUN NOUN VERB ADV DET ADJ ADJ NOUN ADP VERB ADJ NOUN PUNCT NOUN NOUN ADP ADV DET VERB ADV ADV ADJ PUNCT PUNCT DET NOUN ADP DET NOUN NOUN VERB VERB DET VERB PART ADV ADV ADV CCONJ VERB ADV VERB VERB ADJ ADJ
If the underlying cause persists, however, then a suffocating blanket of activated lymphocytes surrounds every new blood vessel.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0	new blood	literal	identical	ADP DET ADJ NOUN VERB ADV ADV DET VERB NOUN ADP VERB VERB NOUN DET ADJ NOUN NOUN	▁If ▁the ▁underlying ▁cause ▁persists , ▁however , ▁then ▁a ▁suffocat ing ▁blanket ▁of ▁activated ▁lymphocytes ▁surround s ▁every ▁new ▁blood ▁vessel .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	ADP DET ADJ NOUN VERB VERB ADV ADV ADV DET VERB VERB NOUN ADP VERB VERB NOUN NOUN DET ADJ NOUN NOUN NOUN
There's the rapidly - rising Kenny Larkin with his exotically sepulchral ‘ Serena X’, and two deep, dreamy excursions by new blood Dan Curtin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	new blood	figurative	identical	ADV DET ADV PUNCT VERB PROPN PROPN ADP ADJ ADV NOUN PUNCT PROPN PROPN CCONJ NUM ADJ ADJ NOUN ADP ADJ NOUN PROPN PROPN	▁There ' s ▁the ▁rapidly ▁- ▁rising ▁K en ny ▁Lar kin ▁with ▁his ▁ex otic ally ▁se pul ch ral ▁ ‘ ▁Ser ena ▁X ’ , ▁and ▁two ▁deep , ▁dream y ▁excursion s ▁by ▁new ▁blood ▁Dan ▁Cur tin .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	ADV ADV ADV DET ADV PUNCT VERB PROPN PROPN PROPN PROPN PROPN ADP ADJ ADV ADV ADV NOUN NOUN NOUN NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN PROPN CCONJ NUM ADJ ADJ ADJ ADJ NOUN NOUN ADP ADJ NOUN PROPN PROPN PROPN PROPN
They felt they should either bring in new blood or sell the company.	0 0 0 0 0 0 0 1 1 0 0 0 0	new blood	figurative	identical	PRON VERB PRON VERB CCONJ VERB PART ADJ NOUN CCONJ VERB DET NOUN	▁They ▁felt ▁they ▁should ▁either ▁bring ▁in ▁new ▁blood ▁or ▁sell ▁the ▁company .	0 0 0 0 0 0 0 1 1 0 0 0 0 0	PRON VERB PRON VERB CCONJ VERB PART ADJ NOUN CCONJ VERB DET NOUN NOUN
We 're a little one - paced at the moment, so I want to raise the pace of the training sessions, although that doesn't mean we have to bring in new blood quite yet’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	new blood	figurative	identical	PRON VERB DET ADJ NUM PUNCT VERB ADP DET NOUN CCONJ PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN ADP DET VERB VERB PRON VERB PART VERB PART ADJ NOUN ADV NOUN	▁We ▁' re ▁a ▁little ▁one ▁- ▁pace d ▁at ▁the ▁moment , ▁so ▁I ▁want ▁to ▁raise ▁the ▁pace ▁of ▁the ▁training ▁sessions , ▁although ▁that ▁does n ' t ▁mean ▁we ▁have ▁to ▁bring ▁in ▁new ▁blood ▁quite ▁yet ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	PRON VERB VERB DET ADJ NUM PUNCT VERB VERB ADP DET NOUN NOUN CCONJ PRON VERB PART VERB DET NOUN ADP DET NOUN NOUN NOUN ADP DET VERB VERB VERB VERB VERB PRON VERB PART VERB PART ADJ NOUN ADV NOUN NOUN NOUN
In an attempt to find new blood to lead the science research councils, the then education secretary, Sir Keith Joseph, a great proselytizer for the new approach, hired a firm of headhunters.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	new blood	figurative	identical	ADP DET NOUN PART VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN DET ADJ NOUN NOUN PROPN PROPN PROPN DET ADJ NOUN ADP DET ADJ NOUN VERB DET NOUN ADP NOUN	▁In ▁an ▁attempt ▁to ▁find ▁new ▁blood ▁to ▁lead ▁the ▁science ▁research ▁councils , ▁the ▁then ▁education ▁secretary , ▁Sir ▁Ke ith ▁Joseph , ▁a ▁great ▁pro se ly t izer ▁for ▁the ▁new ▁approach , ▁hired ▁a ▁firm ▁of ▁head hun ters .	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN PART VERB ADJ NOUN PART VERB DET NOUN NOUN NOUN NOUN DET ADJ NOUN NOUN NOUN PROPN PROPN PROPN PROPN PROPN DET ADJ NOUN NOUN NOUN NOUN NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN ADP NOUN NOUN NOUN NOUN
